parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization
kPhRbD		log	5.54E-04	5.54E-02	0.000554128	1	0
kPhRbE		log	6.93E-04	6.93E-02	0.000693332	1	0
kDpRb		log	1.39E-04	1.39E-02	0.000251693	1	0
kPhRb		log	2.08E-03	2.08E-01	0.002080009	1	0
kSyCe1		log	1.39E-06	1.39E-04	0.00012424	1	0
kSyCe2		log	4.16E-01	4.16E+01	1.325368424	1	0
kDeCe		log	1.39E-05	1.39E-03	0.001389854	1	0
kDiE2fRb		log	3.47E-05	3.47E-03	4.09E-05	1	0
kAsE2fRb		log	3.47E-02	3.47E+00	0.040314767	1	0
kSyE2f1		log	6.93E-07	6.93E-05	1.61E-05	1	0
kSyE2f2		log	6.93E-02	6.93E+00	0.644601675	1	0
kDeE2f1		log	6.93E-06	6.93E-04	0.000218063	1	0
kDeE2f2		log	1.39E-04	1.39E-02	0.01389541	1	0
kPhE2f		log	1.39E-04	1.39E-02	0.001245362	1	0
kDpE2f2		log	6.93E-03	6.93E-01	0.006930021	1	0
kSyEmi1		log	3.47E-06	3.47E-04	3.49E-06	1	0
kSyEmi2		log	3.47E-01	3.47E+01	3.972822844	1	0
kDeEmi1		log	3.47E-05	3.47E-03	3.92E-05	1	0
kDeEmi2		log	3.47E-05	3.47E-03	0.001043184	1	0
kDeEmi3		log	3.47E-04	3.47E-02	0.000458206	1	0
kPhEmiA		log	3.47E-06	3.47E-04	3.47E-06	1	0
kPhEmiB		log	1.73E-05	1.73E-03	0.000595896	1	0
kDpEmi		log	3.47E-07	3.47E-05	2.75E-05	1	0
kSyCa1		log	6.93E-07	6.93E-05	1.27E-05	1	0
kSyCa2		log	5.20E-02	5.20E+00	0.26828281	1	0
kDeCa1		log	6.93E-07	6.93E-05	8.48E-06	1	0
kDeCa2		log	2.77E-04	2.77E-02	0.00042975	1	0
kDeCa3		log	6.93E-05	6.93E-03	0.002348986	1	0
kDpCdh		log	3.47E-04	3.47E-02	0.000988427	1	0
kPhCdhA		log	1.73E-03	1.73E-01	0.063297755	1	0
kPhCdhE		log	6.93E-05	6.93E-03	0.000101431	1	0
kPhCdhB		log	1.73E-02	1.73E+00	0.017480836	1	0
kDiACE		log	3.47E-05	3.47E-03	4.16267E-05	1	0
kAsACE		log	3.47E-02	3.47E+00	3.468602697	1	0
kDiACdh		log	3.47E-05	3.47E-03	2.43E-03	1	0
kAsACdh		log	3.47E-02	3.47E+00	0.514044172	1	0
kPhCeA		log	6.93E-04	6.93E-02	0.000693114	1	0
kPhCeE		log	6.93E-06	6.93E-04	0.00069296	1	0
kPhFoxE		log	6.93E-05	6.93E-03	0.000367555	1	0
kPhFoxA		log	6.93E-05	6.93E-03	6.93288E-05	1	0
kPhFoxB		log	3.47E-04	3.47E-02	0.008722858	1	0
kDpFox		log	3.47E-06	3.47E-04	1.67E-04	1	0
kSyCb1		log	6.93E-07	6.93E-05	1.47E-06	1	0
kSyCb2		log	5.20E-02	5.20E+00	0.076071525	1	0
kDeCb1		log	6.93E-07	6.93E-05	6.58E-06	1	0
kDeCb2		log	8.66E-05	8.66E-03	8.90E-05	1	0
kDeCb3		log	8.66E-05	8.66E-03	0.00104089	1	0
kPhEnsa		log	6.93E-05	6.93E-03	0.006928092	1	0
kDpEnsa		log	3.47E-05	3.47E-03	0.002064721	1	0
kPhGw		log	6.93E-04	6.93E-02	0.029614932	1	0
kDpGw1		log	1.73E-04	1.73E-02	0.01112298	1	0
kDpGw2		log	6.93E-03	6.93E-01	0.019106416	1	0
kWee1		log	6.93E-06	6.93E-04	2.23E-04	1	0
kWee2		log	6.93E-04	6.93E-02	0.005708734	1	0
kPhWeeA		log	6.93E-05	6.93E-03	0.006850283	1	0
kPhWeeB		log	6.93E-04	6.93E-02	0.000696177	1	0
kDpWee		log	6.93E-03	6.93E-01	0.684886298	1	0
kCdc25_1		log	6.93E-05	6.93E-03	0.000237584	1	0
kCdc25_2		log	6.93E-04	6.93E-02	0.033250756	1	0
kDpCdc25		log	6.93E-03	6.93E-01	0.11849435	1	0
kDipEB55		log	4.71E-06	4.71E-04	2.47949E-05	1	0
kAspEB55		log	3.95E-02	3.95E+00	0.778812997	1	0
kSyCdc_1		log	6.93E-07	6.93E-05	6.82E-05	1	0
kSyCdc_2		log	6.93E-02	6.93E+00	1.007330173	1	0
kDeCdc_1		log	2.77E-06	2.77E-04	8.36E-05	1	0
kDeCdc_2		log	2.77E-05	2.77E-03	2.78E-05	1	0
kDipACdc		log	8.66E-05	8.66E-03	8.72734E-05	1	0
kAspACdc		log	6.93E-04	6.93E-02	0.00169262	1	0
kPhApcA		log	6.93E-06	6.93E-04	0.000692982	1	0
kDpApc		log	3.47E-03	3.47E-01	0.346987005	1	0
kSyFox1		log	6.93E-07	6.93E-05	2.27E-06	1	0
kSyFox2		log	5.20E-02	5.20E+00	0.076975352	1	0
kDeFox1		log	6.93E-07	6.93E-05	7.42E-06	1	0
kDeFox2		log	3.47E-04	3.47E-02	0.025412081	1	0
kAsEPx		log	3.47E-02	3.47E+00	0.370310174	1	0
kDiEPx		log	3.47E-03	3.47E-01	0.004579005	1	0
kAsFPcb		log	3.47E-02	3.47E+00	0.073425504	1	0
kDiFPcb		log	6.93E-03	6.93E-01	0.025379702	1	0
kAsFPcdc		log	3.47E-02	3.47E+00	3.468374111	1	0
kDiFPcdc		log	1.73E-02	1.73E+00	0.017366343	1	0
kPhC25B		log	6.93E-04	6.93E-02	0.069297272	1	0
kPhCAEE		log	5.54E-05	5.54E-03	0.005223831	1	0
kPhCAEA		log	1.39E-03	1.39E-01	0.048126721	1	0
kPhCAEB		log	1.39E-02	1.39E+00	0.079236391	1	0
kDpE2f1		log	0.00E+00	0.00E+00	0	0	0
