parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization
kPhRbD		log	5.54E-04	5.54E-02	0.000869774	1	0
kPhRbE		log	6.93E-04	6.93E-02	0.000817686	1	0
kDpRb		log	1.39E-04	1.39E-02	0.000455152	1	0
kPhRb		log	2.08E-03	2.08E-01	0.005751999	1	0
kSyCe1		log	1.39E-06	1.39E-04	5.76E-06	1	0
kSyCe2		log	4.16E-01	4.16E+01	0.822813416	1	0
kDeCe		log	1.39E-05	1.39E-03	1.66E-05	1	0
kDiE2fRb		log	3.47E-05	3.47E-03	0.00085117	1	0
kAsE2fRb		log	3.47E-02	3.47E+00	0.144305773	1	0
kSyE2f1		log	6.93E-07	6.93E-05	2.56E-05	1	0
kSyE2f2		log	6.93E-02	6.93E+00	0.433801136	1	0
kDeE2f1		log	6.93E-06	6.93E-04	1.55E-05	1	0
kDeE2f2		log	1.39E-04	1.39E-02	0.005202475	1	0
kPhE2f		log	1.39E-04	1.39E-02	0.002806981	1	0
kDpE2f2		log	6.93E-03	6.93E-01	0.692999953	1	0
kSyEmi1		log	3.47E-06	3.47E-04	1.77E-05	1	0
kSyEmi2		log	3.47E-01	3.47E+01	23.46029202	1	0
kDeEmi1		log	3.47E-05	3.47E-03	0.000183892	1	0
kDeEmi2		log	3.47E-05	3.47E-03	0.00347	1	0
kDeEmi3		log	3.47E-04	3.47E-02	0.034699998	1	0
kPhEmiA		log	3.47E-06	3.47E-04	0.000331342	1	0
kPhEmiB		log	1.73E-05	1.73E-03	0.001646708	1	0
kDpEmi		log	3.47E-07	3.47E-05	1.99E-05	1	0
kSyCa1		log	6.93E-07	6.93E-05	4.76E-06	1	0
kSyCa2		log	5.20E-02	5.20E+00	0.052000004	1	0
kDeCa1		log	6.93E-07	6.93E-05	1.88E-05	1	0
kDeCa2		log	2.77E-04	2.77E-02	0.003924646	1	0
kDeCa3		log	6.93E-05	6.93E-03	6.93E-05	1	0
kDpCdh		log	3.47E-04	3.47E-02	0.000347202	1	0
kPhCdhA		log	1.73E-03	1.73E-01	0.00173	1	0
kPhCdhE		log	6.93E-05	6.93E-03	0.00693	1	0
kPhCdhB		log	1.73E-02	1.73E+00	0.151975842	1	0
kDiACE		log	3.47E-05	3.47E-03	3.47E-05	1	0
kAsACE		log	3.47E-02	3.47E+00	3.469999766	1	0
kDiACdh		log	3.47E-05	3.47E-03	5.52E-05	1	0
kAsACdh		log	3.47E-02	3.47E+00	3.469761739	1	0
kPhCeA		log	6.93E-04	6.93E-02	0.000693	1	0
kPhCeE		log	6.93E-06	6.93E-04	6.93E-06	1	0
kPhFoxE		log	6.93E-05	6.93E-03	0.000117988	1	0
kPhFoxA		log	6.93E-05	6.93E-03	0.00255953	1	0
kPhFoxB		log	3.47E-04	3.47E-02	0.000347	1	0
kDpFox		log	3.47E-06	3.47E-04	0.000267838	1	0
kSyCb1		log	6.93E-07	6.93E-05	1.54E-06	1	0
kSyCb2		log	5.20E-02	5.20E+00	0.32348254	1	0
kDeCb1		log	6.93E-07	6.93E-05	6.03E-06	1	0
kDeCb2		log	8.66E-05	8.66E-03	0.000149852	1	0
kDeCb3		log	8.66E-05	8.66E-03	0.000731255	1	0
kPhEnsa		log	6.93E-05	6.93E-03	0.005770105	1	0
kDpEnsa		log	3.47E-05	3.47E-03	0.001868562	1	0
kPhGw		log	6.93E-04	6.93E-02	0.045573239	1	0
kDpGw1		log	1.73E-04	1.73E-02	0.009200033	1	0
kDpGw2		log	6.93E-03	6.93E-01	0.257112948	1	0
kWee1		log	6.93E-06	6.93E-04	0.000692965	1	0
kWee2		log	6.93E-04	6.93E-02	0.009162059	1	0
kPhWeeA		log	6.93E-05	6.93E-03	7.28E-05	1	0
kPhWeeB		log	6.93E-04	6.93E-02	0.000693	1	0
kDpWee		log	6.93E-03	6.93E-01	0.679007546	1	0
kCdc25_1		log	6.93E-05	6.93E-03	0.001629976	1	0
kCdc25_2		log	6.93E-04	6.93E-02	0.000801832	1	0
kDpCdc25		log	6.93E-03	6.93E-01	0.015109627	1	0
kDipEB55		log	4.71E-06	4.71E-04	4.71E-06	1	0
kAspEB55		log	3.95E-02	3.95E+00	3.949999734	1	0
kSyCdc_1		log	6.93E-07	6.93E-05	1.69E-05	1	0
kSyCdc_2		log	6.93E-02	6.93E+00	3.274003189	1	0
kDeCdc_1		log	2.77E-06	2.77E-04	5.76E-06	1	0
kDeCdc_2		log	2.77E-05	2.77E-03	0.002391828	1	0
kDipACdc		log	8.66E-05	8.66E-03	0.000824301	1	0
kAspACdc		log	6.93E-04	6.93E-02	0.005003977	1	0
kPhApcA		log	6.93E-06	6.93E-04	5.59E-05	1	0
kDpApc		log	3.47E-03	3.47E-01	0.01727756	1	0
kSyFox1		log	6.93E-07	6.93E-05	6.93E-07	1	0
kSyFox2		log	5.20E-02	5.20E+00	0.072440963	1	0
kDeFox1		log	6.93E-07	6.93E-05	6.35E-05	1	0
kDeFox2		log	3.47E-04	3.47E-02	0.034699998	1	0
kAsEPx		log	3.47E-02	3.47E+00	0.047982181	1	0
kDiEPx		log	3.47E-03	3.47E-01	0.02922874	1	0
kAsFPcb		log	3.47E-02	3.47E+00	0.049845104	1	0
kDiFPcb		log	6.93E-03	6.93E-01	0.077331745	1	0
kAsFPcdc		log	3.47E-02	3.47E+00	0.065025284	1	0
kDiFPcdc		log	1.73E-02	1.73E+00	1.61671362	1	0
kPhC25B		log	6.93E-04	6.93E-02	0.032158872	1	0
kPhCAEE		log	5.54E-05	5.54E-03	5.54E-05	1	0
kPhCAEA		log	1.39E-03	1.39E-01	0.00139	1	0
kPhCAEB		log	1.39E-02	1.39E+00	0.013900001	1	0
kDpE2f1		log	0.00E+00	0.00E+00	0	0	0
kPhC25A		log	0.00E+00	0.00E+00	0	0	0
ic_wt_cell__CCND		lin	1.00E-01	1.00E+01	0.238315939	1	0
ic_wt_cell__CCNE		lin	2.32E-02	2.32E+00	0.426954899	1	0
ic_wt_cell__E2F_DBD_RB1_Ser332u_		lin	1.85E-03	1.85E-01	0.162428477	1	0
ic_wt_cell__E2F_DBD_RB1_Ser332p_		lin	3.81E-06	3.81E-04	5.75E-06	1	0
ic_wt_cell__CCNA		lin	7.03E-04	7.03E-02	0.00741307	1	0
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15u_		lin	1.88E-04	1.88E-02	0.006926636	1	0
ic_wt_cell__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_		lin	7.15E-03	7.15E-01	0.489603231	1	0
ic_wt_cell__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_		lin	1.51E-05	1.51E-03	0.00151	1	0
ic_wt_cell__RB1_E2F_Ser807_Ser811u_		lin	8.76E-03	8.76E-01	0.8343616	1	0
ic_wt_cell__RB1_E2F_Ser807_Ser811p_		lin	8.41E-02	8.41E+00	1.130219434	1	0
ic_wt_cell__PPP2R2B_ENSA_ARPP19_		lin	7.72E-03	7.72E-01	0.139752926	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355u_		lin	4.03E-01	4.03E+01	0.669786188	1	0
ic_wt_cell__CDC20_APC_		lin	2.30E-02	2.30E+00	0.418884964	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_		lin	6.99E-03	6.99E-01	0.152450712	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355p_		lin	6.31E-03	6.31E-01	0.268596593	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355u__FZR1_APC_1_FBXO5_nTermu_		lin	7.14E-02	7.14E+00	0.85391292	1	0
ic_wt_cell__FZR1_APC_FBXO5_nTermu_		lin	5.71E-05	5.71E-03	0.004103691	1	0
ic_wt_cell__FZR1_APC_FBXO5_nTermp_		lin	1.61E-02	1.61E+00	1.496549162	1	0
ic_wt_cell__APC_FBXO5_1_FZR1_CDC20_2_Ser355u__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		lin	1.09E-02	1.09E+00	0.485159262	1	0
ic_wt_cell__FBXO5_APC_FZR1_Ser182u_		lin	7.18E-05	7.18E-03	0.006639784	1	0
