parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization
kPhFoxA		log	6.93E-05	6.93E-03	0.006929968	1	0
kPhFoxB		log	3.47E-04	3.47E-02	0.000346999	1	0
kDpFox		log	3.47E-06	3.47E-04	4.70012E-06	1	0
kSyCb1		log	6.93E-07	6.93E-05	1.29605E-06	1	0
kSyCb2		log	5.20E-02	5.20E+00	0.075597798	1	0
kDeCb1		log	6.93E-07	6.93E-05	4.28799E-06	1	0
kDeCb2		log	8.66E-05	8.66E-03	8.74569E-05	1	0
kDeCb3		log	8.66E-05	8.66E-03	0.000779271	1	0
kPhEnsa		log	6.93E-05	6.93E-03	0.006929968	1	0
kDpEnsa		log	3.47E-05	3.47E-03	0.001650907	1	0
kPhGw		log	6.93E-04	6.93E-02	0.021239295	1	0
kDpGw1		log	1.73E-04	1.73E-02	0.006481588	1	0
kDpGw2		log	6.93E-03	6.93E-01	0.020176497	1	0
kWee1		log	6.93E-06	6.93E-04	1.3333E-05	1	0
kWee2		log	6.93E-04	6.93E-02	0.004762223	1	0
kPhWeeA		log	6.93E-05	6.93E-03	0.006929968	1	0
kPhWeeB		log	6.93E-04	6.93E-02	0.000694986	1	0
kDpWee		log	6.93E-03	6.93E-01	0.044801126	1	0
kCdc25_1		log	6.93E-05	6.93E-03	0.000298515	1	0
kCdc25_2		log	6.93E-04	6.93E-02	0.013007353	1	0
kDpCdc25		log	6.93E-03	6.93E-01	0.110376454	1	0
kDipEB55		log	4.71E-06	4.71E-04	0.000300717	1	0
kAspEB55		log	3.95E-02	3.95E+00	0.371663964	1	0
kSyCdc_1		log	6.93E-07	6.93E-05	6.85948E-05	1	0
kSyCdc_2		log	6.93E-02	6.93E+00	0.983721224	1	0
kDeCdc_1		log	2.77E-06	2.77E-04	2.97837E-05	1	0
kDeCdc_2		log	2.77E-05	2.77E-03	2.76994E-05	1	0
kDipACdc		log	8.66E-05	8.66E-03	0.000170323	1	0
kAspACdc		log	6.93E-04	6.93E-02	0.001982737	1	0
kPhApcA		log	6.93E-06	6.93E-04	0.000649353	1	0
kDpApc		log	3.47E-03	3.47E-01	0.307299735	1	0
kSyFox1		log	6.93E-07	6.93E-05	1.96939E-06	1	0
kSyFox2		log	5.20E-02	5.20E+00	0.052000546	1	0
kDeFox1		log	6.93E-07	6.93E-05	6.93025E-07	1	0
kDeFox2		log	3.47E-04	3.47E-02	0.022022118	1	0
kAsEPx		log	3.47E-02	3.47E+00	0.35232974	1	0
kDiEPx		log	3.47E-03	3.47E-01	0.004418354	1	0
kAsFPcb		log	3.47E-02	3.47E+00	0.070689556	1	0
kDiFPcb		log	6.93E-03	6.93E-01	0.0275888	1	0
kAsFPcdc		log	3.47E-02	3.47E+00	0.522866874	1	0
kDiFPcdc		log	1.73E-02	1.73E+00	0.017453666	1	0
kPhC25B		log	6.93E-04	6.93E-02	0.056095302	1	0
kPhCAEE		log	5.54E-05	5.54E-03	0.005515612	1	0
kPhCAEA		log	1.39E-03	1.39E-01	0.020383601	1	0
kPhCAEB		log	1.39E-02	1.39E+00	0.14582475	1	0
kDpE2f1		log	0.00E+00	0.00E+00	0	0	0
kPhC25A		log	0.00E+00	0.00E+00	0	0	0
ic_wt_cell__CCND		lin	1.00E-01	1.00E+01	0.100012756	1	0
ic_wt_cell__CCNE		lin	2.32E-02	2.32E+00	0.098556487	1	0
ic_wt_cell__E2F_DBD_RB1_Ser332u_		lin	1.85E-03	1.85E-01	0.091158096	1	0
ic_wt_cell__E2F_DBD_RB1_Ser332p_		lin	3.81E-06	3.81E-04	0.00037848	1	0
ic_wt_cell__CCNA		lin	7.03E-04	7.03E-02	0.070299999	1	0
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15u_		lin	1.88E-04	1.88E-02	0.016507507	1	0
ic_wt_cell__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_		lin	7.15E-03	7.15E-01	0.019049239	1	0
ic_wt_cell__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_		lin	1.51E-05	1.51E-03	0.00150817	1	0
ic_wt_cell__RB1_E2F_Ser807_Ser811u_		lin	8.76E-03	8.76E-01	0.597529051	1	0
ic_wt_cell__RB1_E2F_Ser807_Ser811p_		lin	8.41E-02	8.41E+00	2.127864796	1	0
ic_wt_cell__PPP2R2B_ENSA_ARPP19_		lin	7.72E-03	7.72E-01	0.517050095	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355u_		lin	4.03E-01	4.03E+01	13.22924456	1	0
ic_wt_cell__CDC20_APC_		lin	2.30E-02	2.30E+00	2.245797564	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_		lin	6.99E-03	6.99E-01	0.698999991	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355p_		lin	6.31E-03	6.31E-01	0.423328407	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355u__FZR1_APC_1_FBXO5_nTermu_		lin	7.14E-02	7.14E+00	1.372017331	1	0
ic_wt_cell__FZR1_APC_FBXO5_nTermu_		lin	5.71E-05	5.71E-03	0.005319557	1	0
ic_wt_cell__FZR1_APC_FBXO5_nTermp_		lin	1.61E-02	1.61E+00	0.203181212	1	0
ic_wt_cell__APC_FBXO5_1_FZR1_CDC20_2_Ser355u__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		lin	1.09E-02	1.09E+00	0.162444471	1	0
ic_wt_cell__FBXO5_APC_FZR1_Ser182u_		lin	7.18E-05	7.18E-03	0.00124717	1	0
ic_wt_cell__APC_FBXO5_1_FZR1_CDC20_2_Ser355p__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		lin	2.21E-04	2.21E-02	0.022055541	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__FZR1_APC_1_FBXO5_nTermu_		lin	1.36E-03	1.36E-01	0.074515465	1	0
ic_wt_cell__FBXO5_APC_FZR1_Ser182p_		lin	1.88E-06	1.88E-04	0.000187952	1	0
ic_wt_cell__FOXM1_DBD_Thr600u_		lin	5.56E-04	5.56E-02	0.000566275	1	0
ic_wt_cell__FOXM1_DBD_Thr600p_		lin	3.81E-05	3.81E-03	0.002136805	1	0
ic_wt_cell__CCNB_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_		lin	1.90E-08	1.90E-06	2.44098E-07	1	0
ic_wt_cell__CCNB_promoter_FOXM1_		lin	9.98E-06	9.98E-04	0.00017098	1	0
ic_wt_cell__CDC20_promoter_FOXM1_		lin	9.99E-06	9.99E-04	0.000260846	1	0
ic_wt_cell__CDC20_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_		lin	7.62E-09	7.62E-07	6.36447E-07	1	0
ic_wt_cell__WEE1_Ser123u_		lin	9.80E-02	9.80E+00	2.797521622	1	0
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15p_		lin	7.51E-04	7.51E-02	0.048992678	1	0
ic_wt_cell__WEE1_Ser123p_		lin	1.96E-03	1.96E-01	0.047720316	1	0
ic_wt_cell__CDC25_pSitesp_		lin	1.84E-03	1.84E-01	0.020964392	1	0
ic_wt_cell__CDC25_pSitesu_		lin	9.82E-02	9.82E+00	4.914267822	1	0
ic_wt_cell__MASTL_Thr198u_		lin	9.98E-02	9.98E+00	9.682557874	1	0
ic_wt_cell__MASTL_Thr198p_		lin	2.47E-04	2.47E-02	0.000248346	1	0
ic_wt_cell__ENSA_ARPP19_PPP2R2B_Ser62_Ser67u_		lin	8.27E-02	8.27E+00	0.933158734	1	0
ic_wt_cell__ENSA_ARPP19_PPP2R2B_Ser62_Ser67p_		lin	3.29E-05	3.29E-03	0.00028059	1	0
ic_wt_cell__ENSA_ARPP19_PPP2R2B_1_Ser62_Ser67p__PPP2R2B_ENSA_ARPP19_1_		lin	1.73E-02	1.73E+00	1.130195569	1	0
ic_wt_cell__CCNE_promoter_E2F_		lin	8.45E-06	8.45E-04	0.000104646	1	0
ic_wt_cell__CCNA_promoter_E2F_		lin	8.45E-06	8.45E-04	7.23396E-05	1	0
ic_wt_cell__E2F_promoter_E2F_		lin	8.45E-06	8.45E-04	0.000165788	1	0
ic_wt_cell__FBXO5_promoter_E2F_		lin	8.45E-06	8.45E-04	8.82725E-05	1	0
ic_wt_cell__FOXM1_promoter_E2F_		lin	8.45E-06	8.45E-04	2.34529E-05	1	0
ic_wt_cell__CCNE_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_		lin	1.55E-06	1.55E-04	3.05403E-05	1	0
ic_wt_cell__CCNA_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_		lin	1.55E-06	1.55E-04	2.50204E-05	1	0
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__E2F_promoter_E2F_1_		lin	1.55E-06	1.55E-04	9.65045E-05	1	0
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__FBXO5_promoter_E2F_1_		lin	1.55E-06	1.55E-04	1.29881E-05	1	0
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__FOXM1_promoter_E2F_1_		lin	1.55E-06	1.55E-04	3.80971E-05	1	0
ic_wt_cell__iWEE		lin	0.00E+00	0.00E+00	0	0	0
sCCNA		lin	2.00E-01	2.00E+01	2.483732216	1	1
sCCNB		lin	2.00E-01	2.00E+01	12.20967878	1	1
sCCNE		lin	2.00E-01	2.00E+01	7.931312626	1	1
sE2F		lin	2.00E-01	2.00E+01	5.368452006	1	1
sRB1_pSer807Ser811		lin	2.00E-01	2.00E+01	0.488879479	1	1
noiseParameter1		lin	0.00E+00	0.00E+00	0	0	0
noiseParameter2		lin	1.00E-02	1.00E+00	1	0	0
