parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization
kPhRbD		log	5.54E-04	5.54E-02	0.000554779	1	0
kPhRbE		log	6.93E-04	6.93E-02	0.000693	1	0
kDpRb		log	1.39E-04	1.39E-02	0.000319736	1	0
kPhRb		log	2.08E-03	2.08E-01	0.002376725	1	0
kSyCe1		log	1.39E-06	1.39E-04	0.000135654	1	0
kSyCe2		log	4.16E-01	4.16E+01	1.297074281	1	0
kDeCe		log	1.39E-05	1.39E-03	0.001390002	1	0
kDiE2fRb		log	3.47E-05	3.47E-03	3.63412E-05	1	0
kAsE2fRb		log	3.47E-02	3.47E+00	0.0422064	1	0
kSyE2f1		log	6.93E-07	6.93E-05	1.67385E-05	1	0
kSyE2f2		log	6.93E-02	6.93E+00	0.624207888	1	0
kDeE2f1		log	6.93E-06	6.93E-04	0.000236388	1	0
kDeE2f2		log	1.39E-04	1.39E-02	0.013822863	1	0
kPhE2f		log	1.39E-04	1.39E-02	0.000907621	1	0
kDpE2f2		log	6.93E-03	6.93E-01	0.006980302	1	0
kSyEmi1		log	3.47E-06	3.47E-04	3.47107E-06	1	0
kSyEmi2		log	3.47E-01	3.47E+01	3.814322069	1	0
kDeEmi1		log	3.47E-05	3.47E-03	4.87592E-05	1	0
kDeEmi2		log	3.47E-05	3.47E-03	0.001107115	1	0
kDeEmi3		log	3.47E-04	3.47E-02	0.031942584	1	0
kPhEmiA		log	3.47E-06	3.47E-04	3.73337E-06	1	0
kPhEmiB		log	1.73E-05	1.73E-03	0.000624396	1	0
kDpEmi		log	3.47E-07	3.47E-05	2.08196E-05	1	0
kSyCa1		log	6.93E-07	6.93E-05	1.25301E-05	1	0
kSyCa2		log	5.20E-02	5.20E+00	0.468273539	1	0
kDeCa1		log	6.93E-07	6.93E-05	2.19689E-05	1	0
kDeCa2		log	2.77E-04	2.77E-02	0.00046348	1	0
kDeCa3		log	6.93E-05	6.93E-03	0.002284826	1	0
kDpCdh		log	3.47E-04	3.47E-02	0.000807192	1	0
kPhCdhA		log	1.73E-03	1.73E-01	0.046496457	1	0
kPhCdhE		log	6.93E-05	6.93E-03	0.00075685	1	0
kPhCdhB		log	1.73E-02	1.73E+00	0.621209258	1	0
kDiACE		log	3.47E-05	3.47E-03	0.000805711	1	0
kAsACE		log	3.47E-02	3.47E+00	0.879832402	1	0
kDiACdh		log	3.47E-05	3.47E-03	5.93433E-05	1	0
kAsACdh		log	3.47E-02	3.47E+00	2.606654237	1	0
kPhCeA		log	6.93E-04	6.93E-02	0.000693	1	0
kPhCeE		log	6.93E-06	6.93E-04	0.000692892	1	0
kPhFoxE		log	6.93E-05	6.93E-03	0.005473819	1	0
