fx,time(s)
-364.69,348.2
-364.69,348.61
-364.69,349.79
-364.69,350.27
-364.69,350.28
-364.69,350.73
-364.69,350.9
-364.69,352.28
-365.01,353.14
-365.01,353.8
-365.01,354.41
-365.01,354.85
-365.01,355.62
-365.01,355.77
-365.01,356.4
-365.01,356.58
-365.01,357.34
-365.55,358.82
-365.55,359.39
-365.55,359.97
-365.55,360
-365.55,361.01
-365.55,361.31
-366.11,364.55
-366.11,364.59
-366.11,364.94
-366.11,365.03
-366.11,365.3
-366.11,365.47
-366.11,365.92
-366.11,366.23
-366.11,366.48
-366.11,366.78
-366.11,368.81
-366.11,368.86
-366.11,369.68
-367.12,370.27
-367.12,370.57
-367.12,370.59
-367.12,370.93
-367.12,371.88
-367.12,372.33
-367.12,372.58
-367.12,374.55
-368.87,375.99
-368.87,376.18
-368.87,376.5
-368.87,376.64
-368.87,377.43
-368.87,377.88
-368.87,378.54
-368.87,379.48
-368.87,380.04
-368.87,380.32
-368.87,381.09
-368.87,381.17
-368.87,381.3
-369.72,381.72
-369.72,381.79
-369.72,381.98
-369.72,382.89
-369.72,382.96
-369.72,383.5
-369.72,383.53
-369.72,384.46
-369.72,386.48
-370.4,387.51
-370.4,387.53
-370.4,388.18
-370.4,388.6
-370.4,389.07
-370.4,389.33
-370.4,390.38
-370.4,391.78
-370.4,391.83
-371.46,393.28
-371.46,393.51
-371.46,393.85
-371.46,394.24
-371.46,394.37
-371.46,394.52
-371.46,394.7
-371.46,396.26
-371.46,396.88
-371.46,397.13
-371.46,398.8
-373.47,398.99
-373.47,399.8
-373.47,400.37
-373.47,402.08
-373.47,402.54
-373.47,403.25
-373.47,404.19
-373.47,404.48
-373.47,404.54
-373.79,404.8
-373.79,404.88
-373.79,405.39
-373.79,405.42
-373.79,406.06
-373.79,406.88
-373.79,407.91
-373.79,407.95
-373.79,409.19
-373.79,409.56
-373.79,409.6
-373.79,410.25
-373.79,410.41
-374.15,410.54
-374.15,411.7
-374.15,412.17
-374.15,413.25
-374.15,413.49
-374.15,413.7
-374.15,414.77
-374.15,414.91
-374.15,416.06
-374.65,416.4
-374.65,418.79
-374.65,419.06
-374.65,419.56
-374.65,419.89
-374.65,419.91
-374.65,420.05
-374.65,420.36
-374.65,421.86
-376.02,422.28
-376.02,422.81
-376.02,424.4
-376.02,424.89
-376.02,425.14
-376.02,425.41
-376.02,425.83
-376.02,427.34
-376.02,427.63
-376.02,427.68
-376.02,430.68
-376.02,431.82
-376.02,433.42
-377.47,433.9
-377.47,435.32
-377.47,435.56
-377.47,435.96
-377.47,436.07
-377.47,436.53
-377.47,436.55
-377.47,436.61
-377.47,436.73
-377.47,437.17
-377.47,439.73
-378.35,439.82
-378.35,439.91
-378.35,440.21
-378.35,440.6
-378.35,440.77
-378.35,442.2
-378.35,443.06
-378.35,443.08
-378.65,445.61
-378.65,445.94
-378.65,445.98
-378.65,446.99
-378.65,447.66
-378.65,448.91
-378.65,450.41
-378.65,450.74
-380.06,451.47
-380.06,452.51
-380.06,453.17
-380.06,453.96
-380.06,454.92
-380.06,455.11
-380.06,455.45
-380.06,455.98
-380.06,456.03
-380.06,456.31
-380.06,456.73
-380.06,456.74
-380.56,457.37
-380.56,458.39
-380.56,458.69
-380.56,459.85
-380.56,460.11
-380.56,460.19
-380.56,460.42
-380.56,461.52
-380.56,461.68
-380.56,462.16
-382.12,463.48
-382.12,464.54
-382.12,465.67
-382.12,466.21
-382.12,466.79
-382.12,467.25
-382.12,467.63
-382.12,467.86
-382.43,469.29
-382.43,470.47
-382.43,470.73
-382.43,471.24
-382.43,471.43
-382.43,471.74
-382.43,472.15
-382.43,472.35
-382.43,472.96
-382.43,473.03
-382.43,473.86
-382.43,474
-382.43,474.49
-383.3,481.33
-383.3,482.11
-383.3,482.4
-383.3,482.98
-383.3,483.9
-383.3,484.03
-383.3,484.15
-383.3,484.42
-383.3,485.33
-383.3,485.73
-383.3,485.86
-383.3,487.11
-383.42,487.17
-383.42,487.95
-383.42,488.04
-383.42,488.4
-383.42,489.43
-383.42,490.06
-383.42,490.23
-383.42,491.04
-383.42,491.09
-383.97,493.14
-383.97,493.71
-383.97,493.76
-383.97,494.96
-383.97,495.72
-383.97,496
-383.97,496.67
-384.09,499.02
-384.09,499.11
-384.09,499.54
-384.09,500.58
-384.09,500.95
-384.09,501.73
-384.09,502.44
-384.09,503.57
-384.38,504.95
-384.38,505.25
-384.38,505.67
-384.38,506.12
-384.38,506.62
-384.38,507.46
-384.38,508.13
-384.38,508.64
-384.38,508.81
-384.38,509.33
-384.38,509.9
-384.54,510.78
-384.54,510.98
-384.54,511.22
-384.54,511.42
-384.54,511.77
-384.54,512.41
-384.54,513.18
-384.54,513.83
-384.54,515.21
-384.54,515.31
-385.04,516.6
-385.04,516.68
-385.04,517.35
-385.04,517.39
-385.04,518.1
-385.04,518.88
-385.04,519.24
-385.04,519.58
-385.04,520.73
-385.27,522.53
-385.27,522.88
-385.27,523.88
-385.27,524.56
-385.27,525.26
-385.27,526.14
-385.27,527.08
-385.27,527.58
-385.27,528.29
-385.27,529.31
-385.27,529.55
-385.27,531.66
-385.62,534.18
-385.62,535.05
-385.62,535.1
-385.62,535.42
-385.62,535.64
-385.62,536.65
-385.62,537.14
-385.62,537.94
-385.62,540.02
-385.62,541.95
-385.62,544.48
-385.9,545.91
-385.9,545.98
-385.9,546.52
-385.9,547.01
-385.9,547.05
-385.9,548.03
-385.9,548.17
-385.9,548.54
-385.9,550.8
-386.07,551.8
-386.07,552.2
-386.07,552.38
-386.07,552.71
