observableId	simulationConditionId	measurement	time	noiseParameter
obs_cycA__nuc_median	wt	0.7976425237002198	0.0	1.0
obs_cycA__nuc_median	wt	0.7430522116963524	164.6044632	0.998845422
obs_cycA__nuc_median	wt	0.7044812075430762	329.4838944	0.997692177
obs_cycA__nuc_median	wt	0.6693297010410533	494.6393196	0.996540263
obs_cycA__nuc_median	wt	0.6370335421646978	660.071628	0.995389679
obs_cycA__nuc_median	wt	0.6074854853086231	825.7817088	0.994240424
obs_cycA__nuc_median	wt	0.5805582437977109	991.770588	0.993092495
obs_cycA__nuc_median	wt	0.5560925377594276	1158.039086	0.991945892
obs_cycA__nuc_median	wt	0.5339127557770107	1324.58823	0.990800613
obs_cycA__nuc_median	wt	0.5138392091148128	1491.418908	0.989656656
obs_cycA__nuc_median	wt	0.49569563905341707	1658.532146	0.98851402
obs_cycA__nuc_median	wt	0.4793135570158792	1825.928903	0.987372704
obs_cycA__nuc_median	wt	0.46453452004519924	1993.610066	0.986232704
obs_cycA__nuc_median	wt	0.4512111463410089	2161.576595	0.985094022
obs_cycA__nuc_median	wt	0.43920738944271387	2329.829582	0.983956654
obs_cycA__nuc_median	wt	0.4283983956234062	2498.369918	0.982820599
obs_cycA__nuc_median	wt	0.4186700467467425	2667.198629	0.981685855
obs_cycA__nuc_median	wt	0.4099184093301329	2836.316603	0.980552422
obs_cycA__nuc_median	wt	0.40204907683730084	3005.725003	0.979420298
obs_cycA__nuc_median	wt	0.3949765570947273	3175.424651	0.97828948
obs_cycA__nuc_median	wt	0.38862361681941693	3345.41664	0.977159968
obs_cycA__nuc_median	wt	0.3829207284904415	3515.702065	0.976031761
obs_cycA__nuc_median	wt	0.3778056035744065	3686.281747	0.974904856
obs_cycA__nuc_median	wt	0.3732228523277875	3857.156849	0.973779252
obs_cycA__nuc_median	wt	0.3691239558162698	4028.328328	0.972654947
obs_cycA__nuc_median	wt	0.3654677700140615	4199.797278	0.971531941
obs_cycA__nuc_median	wt	0.3622223905778006	4371.564658	0.970410231
obs_cycA__nuc_median	wt	0.3593710038693848	4543.631561	0.969289817
obs_cycA__nuc_median	wt	0.35693414316286454	4715.999014	0.968170696
obs_cycA__nuc_median	wt	0.3551141712947525	4888.668042	0.967052867
obs_cycA__nuc_median	wt	0.35523269070821867	5061.63974	0.965936329
obs_cycA__nuc_median	wt	0.3574710088359713	5234.915203	0.96482108
obs_cycA__nuc_median	wt	0.3599724990807238	5408.495456	0.963707118
obs_cycA__nuc_median	wt	0.3623974906330487	5582.381594	0.962594443
obs_cycA__nuc_median	wt	0.36473541566635437	5756.574643	0.961483052
obs_cycA__nuc_median	wt	0.36698513880755346	5931.075697	0.960372945
obs_cycA__nuc_median	wt	0.36914616629017727	6105.885919	0.959264119
