parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization
kPhRbD		log	5.54E-04	5.54E-02	0.003699351	1	0
kPhRbE		log	6.93E-04	6.93E-02	0.007032915	1	0
kDpRb		log	1.39E-04	1.39E-02	0.000932329	1	0
kPhRb		log	2.08E-03	2.08E-01	0.021758778	1	0
kSyCe1		log	1.39E-06	1.39E-04	8.09606E-06	1	0
kSyCe2		log	4.16E-01	4.16E+01	0.958281215	1	0
kDeCe		log	1.39E-05	1.39E-03	0.000106156	1	0
kDiE2fRb		log	3.47E-05	3.47E-03	0.003469378	1	0
kAsE2fRb		log	3.47E-02	3.47E+00	0.272304869	1	0
kSyE2f1		log	6.93E-07	6.93E-05	3.36691E-06	1	0
kSyE2f2		log	6.93E-02	6.93E+00	0.367195821	1	0
kDeE2f1		log	6.93E-06	6.93E-04	7.6365E-05	1	0
kDeE2f2		log	1.39E-04	1.39E-02	0.00107614	1	0
kPhE2f		log	1.39E-04	1.39E-02	0.001631274	1	0
kDpE2f2		log	6.93E-03	6.93E-01	0.025294406	1	0
kSyEmi1		log	3.47E-06	3.47E-04	6.75872E-06	1	0
kSyEmi2		log	3.47E-01	3.47E+01	1.337499733	1	0
kDeEmi1		log	3.47E-05	3.47E-03	5.93807E-05	1	0
kDeEmi2		log	3.47E-05	3.47E-03	9.77902E-05	1	0
kDeEmi3		log	3.47E-04	3.47E-02	0.000431348	1	0
kPhEmiA		log	3.47E-06	3.47E-04	4.07617E-06	1	0
kPhEmiB		log	1.73E-05	1.73E-03	0.000326567	1	0
kDpEmi		log	3.47E-07	3.47E-05	3.4666E-05	1	0
kSyCa1		log	6.93E-07	6.93E-05	7.1163E-06	1	0
kSyCa2		log	5.20E-02	5.20E+00	0.176563093	1	0
kDeCa1		log	6.93E-07	6.93E-05	7.43658E-06	1	0
kDeCa2		log	2.77E-04	2.77E-02	0.000816718	1	0
kDeCa3		log	6.93E-05	6.93E-03	0.000273978	1	0
kDpCdh		log	3.47E-04	3.47E-02	0.001697163	1	0
kPhCdhA		log	1.73E-03	1.73E-01	0.001730285	1	0
kPhCdhE		log	6.93E-05	6.93E-03	0.004855802	1	0
kPhCdhB		log	1.73E-02	1.73E+00	0.080240653	1	0
kDiACE		log	3.47E-05	3.47E-03	3.5056E-05	1	0
kAsACE		log	3.47E-02	3.47E+00	0.236951927	1	0
kDiACdh		log	3.47E-05	3.47E-03	0.000217014	1	0
kAsACdh		log	3.47E-02	3.47E+00	0.294319902	1	0
kPhCeA		log	6.93E-04	6.93E-02	0.005017798	1	0
kPhCeE		log	6.93E-06	6.93E-04	2.43824E-05	1	0
kPhFoxE		log	6.93E-05	6.93E-03	0.000201653	1	0
kPhFoxA		log	6.93E-05	6.93E-03	0.000643549	1	0
kPhFoxB		log	3.47E-04	3.47E-02	0.005176154	1	0
kDpFox		log	3.47E-06	3.47E-04	3.47587E-06	1	0
kSyCb1		log	6.93E-07	6.93E-05	4.83377E-06	1	0
kSyCb2		log	5.20E-02	5.20E+00	0.158832038	1	0
kDeCb1		log	6.93E-07	6.93E-05	2.10664E-06	1	0
kDeCb2		log	8.66E-05	8.66E-03	0.000655513	1	0
kDeCb3		log	8.66E-05	8.66E-03	0.00027504	1	0
kPhEnsa		log	6.93E-05	6.93E-03	0.000559182	1	0
kDpEnsa		log	3.47E-05	3.47E-03	0.000201393	1	0
kPhGw		log	6.93E-04	6.93E-02	0.009421198	1	0
kDpGw1		log	1.73E-04	1.73E-02	0.000173145	1	0
kDpGw2		log	6.93E-03	6.93E-01	0.022480972	1	0
kWee1		log	6.93E-06	6.93E-04	0.000692934	1	0
kWee2		log	6.93E-04	6.93E-02	0.004492913	1	0
kPhWeeA		log	6.93E-05	6.93E-03	0.00127302	1	0
kPhWeeB		log	6.93E-04	6.93E-02	0.001519626	1	0
kDpWee		log	6.93E-03	6.93E-01	0.013714851	1	0
kCdc25_1		log	6.93E-05	6.93E-03	0.000421893	1	0
kCdc25_2		log	6.93E-04	6.93E-02	0.004137109	1	0
kDpCdc25		log	6.93E-03	6.93E-01	0.058201101	1	0
kDipEB55		log	4.71E-06	4.71E-04	6.02139E-06	1	0
kAspEB55		log	3.95E-02	3.95E+00	3.947352101	1	0
kSyCdc_1		log	6.93E-07	6.93E-05	2.24501E-05	1	0
kSyCdc_2		log	6.93E-02	6.93E+00	0.462569252	1	0
kDeCdc_1		log	2.77E-06	2.77E-04	4.89792E-05	1	0
kDeCdc_2		log	2.77E-05	2.77E-03	0.000443316	1	0
kDipACdc		log	8.66E-05	8.66E-03	0.002073032	1	0
kAspACdc		log	6.93E-04	6.93E-02	0.002588448	1	0
kPhApcA		log	6.93E-06	6.93E-04	3.62016E-05	1	0
kDpApc		log	3.47E-03	3.47E-01	0.014978237	1	0
kSyFox1		log	6.93E-07	6.93E-05	5.44593E-06	1	0
kSyFox2		log	5.20E-02	5.20E+00	0.122383588	1	0
kDeFox1		log	6.93E-07	6.93E-05	1.79574E-06	1	0
kDeFox2		log	3.47E-04	3.47E-02	0.001047502	1	0
kAsEPx		log	3.47E-02	3.47E+00	0.128153694	1	0
kDiEPx		log	3.47E-03	3.47E-01	0.011564526	1	0
kAsFPcb		log	3.47E-02	3.47E+00	0.253281946	1	0
kDiFPcb		log	6.93E-03	6.93E-01	0.038249454	1	0
kAsFPcdc		log	3.47E-02	3.47E+00	3.24384385	1	0
kDiFPcdc		log	1.73E-02	1.73E+00	0.017325758	1	0
kPhC25B		log	6.93E-04	6.93E-02	0.036069451	1	0
kPhCAEE		log	5.54E-05	5.54E-03	0.000521289	1	0
kPhCAEA		log	1.39E-03	1.39E-01	0.00139097	1	0
kPhCAEB		log	1.39E-02	1.39E+00	0.046203534	1	0
kDpE2f1		log	0.00E+00	0.00E+00	0	0	0
kPhC25A		log	0.00E+00	0.00E+00	0	0	0
ic_wt_cell__CCND		lin	1.00E-01	1.00E+01	1.366174	1	0
ic_wt_cell__CCNE		lin	2.32E-02	2.32E+00	0.243624	1	0
ic_wt_cell__E2F_DBD_RB1_Ser332u_		lin	1.85E-03	1.85E-01	0.001852	1	0
ic_wt_cell__E2F_DBD_RB1_Ser332p_		lin	3.81E-06	3.81E-04	0.000012	1	0
ic_wt_cell__CCNA		lin	7.03E-04	7.03E-02	0.000717	1	0
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15u_		lin	1.88E-04	1.88E-02	0.004091	1	0
ic_wt_cell__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_		lin	7.15E-03	7.15E-01	0.063856	1	0
ic_wt_cell__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_		lin	1.51E-05	1.51E-03	0.000015	1	0
ic_wt_cell__RB1_E2F_Ser807_Ser811u_		lin	8.76E-03	8.76E-01	0.17805	1	0
ic_wt_cell__RB1_E2F_Ser807_Ser811p_		lin	8.41E-02	8.41E+00	0.814902	1	0
ic_wt_cell__PPP2R2B_ENSA_ARPP19_		lin	7.72E-03	7.72E-01	0.221501	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355u_		lin	4.03E-01	4.03E+01	24.374954	1	0
ic_wt_cell__CDC20_APC_		lin	2.30E-02	2.30E+00	0.052276	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_		lin	6.99E-03	6.99E-01	0.007015	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355p_		lin	6.31E-03	6.31E-01	0.430786	1	0
