Unnamed: 0	observableId	simulationConditionId	measurement	time
0	obs_cycA__nuc_median	wt	0.0013226190689999999	0
1	obs_cycA__nuc_median	wt	0.009855800523826804	705
2	obs_cycA__nuc_median	wt	0.01427076557953004	1410
3	obs_cycA__nuc_median	wt	0.017403423476960046	2115
4	obs_cycA__nuc_median	wt	0.020405436672254997	2820
5	obs_cycA__nuc_median	wt	0.023745220345672006	3525
6	obs_cycA__nuc_median	wt	0.027617618907879147	4230
7	obs_cycA__nuc_median	wt	0.03211021568007556	4935
8	obs_cycA__nuc_median	wt	0.037255913668004556	5640
9	obs_cycA__nuc_median	wt	0.04305049969450072	6345
10	obs_cycA__nuc_median	wt	0.04946302226308124	7050
11	obs_cycA__nuc_median	wt	0.05644535588446108	7755
12	obs_cycA__nuc_median	wt	0.06394083501661403	8460
13	obs_cycA__nuc_median	wt	0.07189121500578559	9165
14	obs_cycA__nuc_median	wt	0.0802419512679431	9870
15	obs_cycA__nuc_median	wt	0.08894629061623276	10575
16	obs_cycA__nuc_median	wt	0.0979686778323775	11280
17	obs_cycA__nuc_median	wt	0.10728776460423545	11985
18	obs_cycA__nuc_median	wt	0.11689909955080673	12690
19	obs_cycA__nuc_median	wt	0.12681747073701496	13395
20	obs_cycA__nuc_median	wt	0.13707884349161925	14100
21	obs_cycA__nuc_median	wt	0.14774200829286088	14805
22	obs_cycA__nuc_median	wt	0.1588901444885122	15510
23	obs_cycA__nuc_median	wt	0.17063271839449637	16215
24	obs_cycA__nuc_median	wt	0.18310823938294846	16920
25	obs_cycA__nuc_median	wt	0.1964884556583905	17625
26	obs_cycA__nuc_median	wt	0.21098444306133826	18330
27	obs_cycA__nuc_median	wt	0.22685461396763643	19035
28	obs_cycA__nuc_median	wt	0.24441330969825756	19740
29	obs_cycA__nuc_median	wt	0.26403540375089873	20445
30	obs_cycA__nuc_median	wt	0.28614492485292203	21150
31	obs_cycA__nuc_median	wt	0.3111625279603967	21855
32	obs_cycA__nuc_median	wt	0.33937905486809383	22560
33	obs_cycA__nuc_median	wt	0.3707707851156082	23265
34	obs_cycA__nuc_median	wt	0.4049075377950924	23970
35	obs_cycA__nuc_median	wt	0.4411059310163944	24675
36	obs_cycA__nuc_median	wt	0.47868921899497396	25380
37	obs_cycA__nuc_median	wt	0.5171253820047074	26085
38	obs_cycA__nuc_median	wt	0.5560335117276117	26790
39	obs_cycA__nuc_median	wt	0.5951449046481516	27495
40	obs_cycA__nuc_median	wt	0.6342656387787318	28200
41	obs_cycA__nuc_median	wt	0.6732504477492794	28905
42	obs_cycA__nuc_median	wt	0.7119860404297196	29610
43	obs_cycA__nuc_median	wt	0.7503805916095762	30315
44	obs_cycA__nuc_median	wt	0.7883570504917022	31020
45	obs_cycA__nuc_median	wt	0.82584879939631	31725
46	obs_cycA__nuc_median	wt	0.862796752724492	32430
47	obs_cycA__nuc_median	wt	0.8991473675785054	33135
48	obs_cycA__nuc_median	wt	0.9348513070146194	33840
49	obs_cycA__nuc_median	wt	0.9698623754894623	34545
50	obs_cycA__nuc_median	wt	1.0041368322337592	35250
51	obs_cycA__nuc_median	wt	1.037632824078647	35955
52	obs_cycA__nuc_median	wt	1.0703099459455776	36660
53	obs_cycA__nuc_median	wt	1.102128875745083	37365
54	obs_cycA__nuc_median	wt	1.1330510599608719	38070
55	obs_cycA__nuc_median	wt	1.163038422288358	38775
56	obs_cycA__nuc_median	wt	1.1920530797191882	39480
57	obs_cycA__nuc_median	wt	1.2200570451942172	40185
58	obs_cycA__nuc_median	wt	1.2470119073182098	40890
59	obs_cycA__nuc_median	wt	1.2728784510988138	41595
60	obs_cycA__nuc_median	wt	1.2976162416999968	42300
61	obs_cycA__nuc_median	wt	1.3211830637247626	43005
62	obs_cycA__nuc_median	wt	1.3435342807699813	43710
63	obs_cycA__nuc_median	wt	1.364621977108493	44415
64	obs_cycA__nuc_median	wt	1.3843938727302763	45120
65	obs_cycA__nuc_median	wt	1.4027918814442115	45825
66	obs_cycA__nuc_median	wt	1.4197501619074449	46530
67	obs_cycA__nuc_median	wt	1.4351924382054568	47235
68	obs_cycA__nuc_median	wt	1.4490281983714715	47940
69	obs_cycA__nuc_median	wt	1.4611471776382174	48645
70	obs_cycA__nuc_median	wt	1.4714110139936853	49350
71	obs_cycA__nuc_median	wt	1.4796401604294587	50055
72	obs_cycA__nuc_median	wt	1.4855922568384807	50760
73	obs_cycA__nuc_median	wt	1.488924113843885	51465
74	obs_cycA__nuc_median	wt	1.4891193881397087	52170
75	obs_cycA__nuc_median	wt	1.485335556676963	52875
76	obs_cycA__nuc_median	wt	1.4760290339314026	53580
77	obs_cycA__nuc_median	wt	1.4578086317291117	54285
78	obs_cycA__nuc_median	wt	1.4203040261032427	54990
79	obs_cycA__nuc_median	wt	1.3135530294241922	55695
80	obs_cycA__nuc_median	wt	1.1013392965901883	56400
81	obs_cycA__nuc_median	wt	0.850870043771252	57105
82	obs_cycA__nuc_median	wt	0.6205505627044049	57810
83	obs_cycA__nuc_median	wt	0.4363941245077584	58515
84	obs_cycA__nuc_median	wt	0.30098729236703703	59220
85	obs_cycA__nuc_median	wt	0.2064362266559483	59925
86	obs_cycA__nuc_median	wt	0.14248595353943513	60630
87	obs_cycA__nuc_median	wt	0.09994898501556168	61335
88	obs_cycA__nuc_median	wt	0.07117174786260981	62040
89	obs_cycA__nuc_median	wt	0.04939740734209561	62745
90	obs_cycA__nuc_median	wt	0.03330021265829381	63450
91	obs_cycA__nuc_median	wt	0.023265658442856718	64155
92	obs_cycA__nuc_median	wt	0.017899535593698074	64860
93	obs_cycA__nuc_median	wt	0.01532535582825137	65565
94	obs_cycA__nuc_median	wt	0.014116964954391378	66270
95	obs_cycA__nuc_median	wt	0.013515289891901436	66975
96	obs_cycA__nuc_median	wt	0.01330122006319906	67680
97	obs_cycA__nuc_median	wt	0.013485508589546925	68385
98	obs_cycA__nuc_median	wt	0.014065778132169391	69090
99	obs_cycA__nuc_median	wt	0.0149982391923927	69795
100	obs_cycA__nuc_median	wt	0.01624824898653252	70500
101	obs_cycB1__nuc_median	wt	0.021001384192	0
102	obs_cycB1__nuc_median	wt	0.014156475008797865	705
103	obs_cycB1__nuc_median	wt	0.014244028148208195	1410
104	obs_cycB1__nuc_median	wt	0.015087276896345514	2115
