observableId	observableName	observableFormula	noiseFormula	observableTransformation	noiseDistribution
obs_cycA__nuc_median		oCCNA + sCCNA * (_cell__CCNA_CDKN1A_B_ + _cell__CCNA_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _cell__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_ + _cell__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_)	noiseParameter1 + noiseParameter2	lin	normal
obs_cycB1__nuc_median		oCCNB + sCCNB * (_cell__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_ + _cell__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_ + _cell__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _cell__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_)	noiseParameter1 + noiseParameter2	lin	normal
obs_cycE__nuc_median		oCCNE + sCCNE * (_cell__CCNE_CDKN1A_B_ + _cell__CCNE_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _cell__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_ + _cell__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_)	noiseParameter1 + noiseParameter2	lin	normal
obs_E2F1__nuc_median		oE2F + sE2F * (_cell__E2F_DBD_RB1_Ser332u_ + _cell__E2F_DBD_RB1_Ser332p_ + _cell__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_ + _cell__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_ + _cell__CCNE_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_ + _cell__CCNA_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_ + _cell__E2F_DBD_1_RB1_Ser332u__E2F_promoter_E2F_1_ + _cell__E2F_DBD_1_RB1_Ser332u__FBXO5_promoter_E2F_1_ + _cell__E2F_DBD_1_RB1_Ser332u__FOXM1_promoter_E2F_1_)	noiseParameter1 + noiseParameter2	lin	normal
obs_pRB__nuc_median		oRB1_pSer807Ser811 + sRB1_pSer807Ser811 * (_cell__RB1_E2F_Ser807_Ser811p_)	noiseParameter1 + noiseParameter2	lin	normal
obs_Skp2__nuc_median		oSKP2 + sSKP2 * _cell__SKP2	noiseParameter1 + noiseParameter2	lin	normal
obs_p21__nuc_median		oCDKN1A + sCDKN1A * (_cell__CDKN1A_CCNE_A_B_Ser130u_ + _cell__CCNA_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _cell__CCNE_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _cell__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _cell__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_ + _cell__CDKN1A_CCNE_A_B_Ser130p_)	noiseParameter1 + noiseParameter2	lin	normal
obs_p27__nuc_median		oCDKN1B + sCDKN1B * (_cell__CDKN1B_CCNE_A_Thr187u_ +  _cell__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_ + _cell__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_ + _cell__CDKN1B_CCNE_A_Thr187p_ + _cell__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_ + _cell__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_)	noiseParameter1 + noiseParameter2	lin	normal
