parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization	objectivePriorType	objectivePriorParameters
kPhRbD		log	0.000554401	0.055440055	0.000648201	1	0	uniform	
kPhRbE		log	0.000693001	0.069300069	0.058910671	1	0	uniform	
kDpRb		log	0.0001386	0.013860014	0.009738132	1	0	uniform	
kPhRb		log	0.002079002	0.20790021	0.031588931	1	0	uniform	
kSyCe1		log	1.39E-06	0.0001386	2.11784E-05	1	0	uniform	
kSyCe2		log	0.41580042	41.580042	0.789451529	1	0	uniform	
kDeCe		log	1.39E-05	0.001386001	0.000541561	1	0	uniform	
kDiE2fRb		log	3.47E-05	0.003465004	4.03325E-05	1	0	uniform	
kAsE2fRb		log	0.034650035	3.4650035	0.114480539	1	0	uniform	
kSyE2f1		log	6.93E-07	6.93E-05	1.74125E-06	1	0	uniform	
kSyE2f2		log	0.069300069	6.9300069	0.295485145	1	0	uniform	
kDeE2f1		log	6.93E-06	0.000693001	6.79153E-06	1	0	uniform	
kDeE2f2		log	0.0001386	0.013860014	0.000660286	1	0	uniform	
kPhE2f		log	0.0001386	0.013860014	0.011885403	1	0	uniform	
kDpE2f2		log	0.006930007	0.69300069	0.02680189	1	0	uniform	
kSyEmi1		log	3.47E-06	0.0003465	4.47293E-05	1	0	uniform	
kSyEmi2		log	0.34650035	34.650035	6.373909639	1	0	uniform	
kDeEmi1		log	3.47E-05	0.003465004	0.000224008	1	0	uniform	
kDeEmi2		log	3.47E-05	0.003465004	9.86651E-05	1	0	uniform	
kDeEmi3		log	0.0003465	0.034650035	0.001111434	1	0	uniform	
kPhEmiA		log	3.47E-06	0.0003465	0.000201609	1	0	uniform	
kPhEmiB		log	1.73E-05	0.001732502	1.49979E-05	1	0	uniform	
kDpEmi		log	3.47E-07	3.47E-05	1.13792E-05	1	0	uniform	
kSyCa1		log	6.93E-07	6.93E-05	1.72474E-05	1	0	uniform	
kSyCa2		log	0.051975052	5.1975052	1.235102815	1	0	uniform	
kDeCa1		log	6.93E-07	6.93E-05	3.41161E-07	1	0	uniform	
kDeCa2		log	0.0002772	0.027720028	0.01975253	1	0	uniform	
kDeCa3		log	6.93E-05	0.006930007	0.002050238	1	0	uniform	
kDpCdh		log	0.0003465	0.034650035	0.001112314	1	0	uniform	
kPhCdhA		log	0.001732502	0.17325017	0.002983994	1	0	uniform	
kPhCdhE		log	6.93E-05	0.006930007	0.000528755	1	0	uniform	
kPhCdhB		log	0.017325017	1.7325017	0.279488223	1	0	uniform	
kDiACE		log	3.47E-05	0.003465004	0.002511269	1	0	uniform	
kAsACE		log	0.034650035	3.4650035	0.057940869	1	0	uniform	
kDiACdh		log	3.47E-05	0.003465004	8.20995E-05	1	0	uniform	
kAsACdh		log	0.034650035	3.4650035	0.029891867	1	0	uniform	
kPhCeA		log	0.000693001	0.069300069	0.000709577	1	0	uniform	
kPhCeE		log	6.93E-06	0.000693001	0.000617137	1	0	uniform	
kPhFoxE		log	6.93E-05	0.006930007	4.73564E-05	1	0	uniform	
kPhFoxA		log	6.93E-05	0.006930007	6.94919E-05	1	0	uniform	
kPhFoxB		log	0.0003465	0.034650035	0.00166395	1	0	uniform	
