fx,time(s)
2.86E+03,7.29E+03
2.86E+03,7.30E+03
2.86E+03,7.30E+03
2.86E+03,7.31E+03
2.86E+03,7.32E+03
2.86E+03,7.35E+03
2.86E+03,7.39E+03
2.86E+03,7.46E+03
2.85E+03,7.91E+03
2.85E+03,7.92E+03
2.85E+03,7.93E+03
2.85E+03,7.95E+03
2.85E+03,7.95E+03
2.85E+03,7.97E+03
2.85E+03,7.98E+03
2.85E+03,8.02E+03
2.85E+03,8.02E+03
2.85E+03,8.13E+03
2.85E+03,8.14E+03
2.85E+03,8.14E+03
2.85E+03,8.17E+03
2.85E+03,8.18E+03
2.85E+03,8.22E+03
2.85E+03,8.22E+03
2.85E+03,8.25E+03
2.85E+03,8.25E+03
2.85E+03,8.31E+03
2.85E+03,8.37E+03
2.85E+03,9.72E+03
2.85E+03,9.72E+03
2.85E+03,9.72E+03
2.85E+03,9.73E+03
2.85E+03,9.73E+03
2.85E+03,9.74E+03
2.85E+03,9.75E+03
2.85E+03,9.80E+03
2.85E+03,9.83E+03
2.85E+03,9.91E+03
2.85E+03,1.01E+04
2.85E+03,1.02E+04
2.85E+03,1.02E+04
2.85E+03,1.03E+04
2.85E+03,1.03E+04
2.85E+03,1.03E+04
2.85E+03,1.03E+04
2.85E+03,1.03E+04
2.85E+03,1.03E+04
2.85E+03,1.03E+04
2.85E+03,1.04E+04
2.85E+03,1.04E+04
2.85E+03,1.05E+04
2.85E+03,1.11E+04
2.85E+03,1.11E+04
2.85E+03,1.11E+04
2.85E+03,1.11E+04
2.85E+03,1.12E+04
2.85E+03,1.12E+04
2.85E+03,1.12E+04
2.85E+03,1.12E+04
2.85E+03,1.12E+04
2.85E+03,1.13E+04
2.85E+03,1.14E+04
2.85E+03,1.16E+04
2.85E+03,1.16E+04
2.85E+03,1.16E+04
2.85E+03,1.17E+04
2.85E+03,1.17E+04
2.85E+03,1.17E+04
2.85E+03,1.17E+04
2.85E+03,1.18E+04
2.85E+03,1.18E+04
2.85E+03,1.21E+04
2.85E+03,1.22E+04
2.85E+03,1.22E+04
2.85E+03,1.22E+04
2.85E+03,1.22E+04
2.85E+03,1.22E+04
2.85E+03,1.23E+04
2.85E+03,1.23E+04
2.85E+03,1.23E+04
2.85E+03,1.23E+04
2.85E+03,1.23E+04
2.85E+03,1.23E+04
2.85E+03,1.23E+04
2.85E+03,1.23E+04
2.85E+03,1.23E+04
2.85E+03,1.23E+04
2.85E+03,1.23E+04
2.85E+03,1.24E+04
2.85E+03,1.24E+04
2.85E+03,1.26E+04
2.85E+03,1.37E+04
2.85E+03,1.41E+04
2.85E+03,1.42E+04
2.85E+03,1.42E+04
2.85E+03,1.42E+04
2.85E+03,1.42E+04
2.85E+03,1.42E+04
2.85E+03,1.42E+04
2.85E+03,1.42E+04
2.85E+03,1.43E+04
2.85E+03,1.43E+04
2.85E+03,1.44E+04
2.85E+03,1.45E+04
2.85E+03,1.47E+04
2.85E+03,1.47E+04
2.85E+03,1.47E+04
2.85E+03,1.47E+04
2.85E+03,1.47E+04
2.85E+03,1.47E+04
2.85E+03,1.48E+04
2.85E+03,1.48E+04
2.85E+03,1.50E+04
2.85E+03,1.50E+04
2.85E+03,1.50E+04
2.85E+03,1.52E+04
2.85E+03,1.52E+04
2.85E+03,1.52E+04
2.85E+03,1.53E+04
2.85E+03,1.53E+04
2.85E+03,1.53E+04
2.85E+03,1.53E+04
2.85E+03,1.53E+04
2.85E+03,1.53E+04
2.85E+03,1.55E+04
2.85E+03,1.55E+04
2.85E+03,1.55E+04
2.85E+03,1.58E+04
2.85E+03,1.59E+04
2.85E+03,1.61E+04
2.85E+03,1.66E+04
2.85E+03,1.71E+04
2.85E+03,1.72E+04
2.85E+03,1.72E+04
2.85E+03,1.72E+04
2.85E+03,1.73E+04
2.85E+03,1.73E+04
2.85E+03,1.74E+04
2.85E+03,1.74E+04
2.85E+03,1.74E+04
2.85E+03,1.74E+04
2.85E+03,1.75E+04
2.85E+03,1.75E+04
2.85E+03,1.84E+04
2.85E+03,1.93E+04
2.85E+03,1.94E+04
2.85E+03,1.94E+04
2.85E+03,1.94E+04
2.85E+03,1.94E+04
2.85E+03,1.94E+04
2.85E+03,1.95E+04
2.85E+03,1.95E+04
2.85E+03,1.96E+04
2.85E+03,1.96E+04
2.85E+03,1.96E+04
2.85E+03,1.98E+04
2.85E+03,1.98E+04
2.85E+03,1.98E+04
2.85E+03,1.98E+04
2.85E+03,1.98E+04
2.85E+03,1.99E+04
2.85E+03,1.99E+04
2.85E+03,1.99E+04
2.85E+03,1.99E+04
2.85E+03,1.99E+04
2.85E+03,2.00E+04
2.85E+03,2.00E+04
2.85E+03,2.00E+04
2.85E+03,2.01E+04
2.85E+03,2.01E+04
2.85E+03,2.01E+04
2.85E+03,2.01E+04
2.85E+03,2.01E+04
2.85E+03,2.01E+04
2.85E+03,2.02E+04
2.85E+03,2.02E+04
2.85E+03,2.03E+04
2.85E+03,2.04E+04
2.85E+03,2.04E+04
2.85E+03,2.05E+04
2.85E+03,2.05E+04
2.85E+03,2.10E+04
2.85E+03,2.10E+04
2.85E+03,2.10E+04
2.85E+03,2.10E+04
2.85E+03,2.10E+04
2.85E+03,2.10E+04
2.85E+03,2.10E+04
2.85E+03,2.11E+04
2.85E+03,2.11E+04
2.85E+03,2.12E+04
2.85E+03,2.14E+04
2.85E+03,2.15E+04
2.85E+03,2.19E+04
2.85E+03,2.19E+04
2.85E+03,2.20E+04
2.85E+03,2.20E+04
2.85E+03,2.20E+04
2.85E+03,2.20E+04
2.85E+03,2.21E+04
2.85E+03,2.21E+04
2.85E+03,2.22E+04
2.85E+03,2.23E+04
2.85E+03,2.23E+04
2.85E+03,2.24E+04
2.85E+03,2.25E+04
2.85E+03,2.27E+04
2.85E+03,2.30E+04
2.85E+03,2.33E+04
2.85E+03,2.33E+04
2.85E+03,2.33E+04
2.85E+03,2.33E+04
2.85E+03,2.33E+04
2.85E+03,2.34E+04
2.85E+03,2.34E+04
2.85E+03,2.34E+04
2.85E+03,2.34E+04
2.85E+03,2.36E+04
2.85E+03,2.36E+04
2.85E+03,2.37E+04
2.85E+03,2.38E+04
2.85E+03,2.38E+04
