fx,time(s)
5.49E+03,1.19E+01
5.49E+03,1.19E+01
5.49E+03,1.20E+01
5.49E+03,1.20E+01
5.49E+03,1.20E+01
5.49E+03,1.21E+01
5.49E+03,1.21E+01
5.49E+03,1.21E+01
5.49E+03,1.23E+01
5.49E+03,1.23E+01
5.49E+03,1.24E+01
5.49E+03,2.42E+01
5.48E+03,3.47E+01
5.48E+03,4.68E+01
5.48E+03,6.09E+01
5.48E+03,7.83E+01
5.48E+03,1.08E+02
5.48E+03,1.25E+02
5.48E+03,1.25E+02
5.39E+03,1.45E+02
5.33E+03,1.55E+02
5.33E+03,1.71E+02
5.33E+03,1.71E+02
5.27E+03,2.02E+02
5.09E+03,2.11E+02
5.09E+03,2.24E+02
5.09E+03,2.24E+02
5.09E+03,2.35E+02
5.09E+03,2.35E+02
5.09E+03,2.36E+02
5.09E+03,2.36E+02
5.09E+03,2.49E+02
5.09E+03,2.49E+02
5.09E+03,2.70E+02
5.09E+03,2.70E+02
5.09E+03,3.28E+02
5.09E+03,3.28E+02
5.09E+03,3.34E+02
5.09E+03,3.34E+02
4.83E+03,3.78E+02
4.83E+03,3.87E+02
4.83E+03,3.87E+02
4.83E+03,4.06E+02
4.83E+03,4.06E+02
4.83E+03,4.35E+02
4.83E+03,4.56E+02
4.83E+03,4.57E+02
4.83E+03,4.85E+02
4.83E+03,5.28E+02
4.83E+03,5.30E+02
4.83E+03,5.36E+02
4.83E+03,5.66E+02
4.83E+03,5.66E+02
4.83E+03,5.67E+02
4.83E+03,6.41E+02
4.83E+03,6.44E+02
4.83E+03,6.56E+02
4.83E+03,7.85E+02
4.82E+03,8.48E+02
4.82E+03,1.18E+03
4.74E+03,1.18E+03
4.74E+03,1.18E+03
4.74E+03,1.20E+03
4.74E+03,1.26E+03
4.74E+03,1.27E+03
4.74E+03,1.28E+03
4.74E+03,1.28E+03
4.74E+03,1.28E+03
4.74E+03,1.29E+03
4.74E+03,1.30E+03
4.74E+03,1.30E+03
4.74E+03,1.71E+03
4.74E+03,1.71E+03
4.68E+03,2.31E+03
4.68E+03,2.32E+03
4.68E+03,2.32E+03
4.68E+03,2.33E+03
4.68E+03,2.35E+03
4.68E+03,2.35E+03
4.68E+03,2.50E+03
4.68E+03,2.50E+03
4.68E+03,2.57E+03
4.68E+03,2.72E+03
4.68E+03,2.72E+03
4.63E+03,3.27E+03
4.63E+03,3.29E+03
4.63E+03,3.32E+03
4.63E+03,3.35E+03
4.63E+03,3.37E+03
4.63E+03,3.37E+03
4.63E+03,3.42E+03
4.63E+03,3.45E+03
4.63E+03,3.47E+03
4.63E+03,3.47E+03
4.63E+03,3.52E+03
4.63E+03,3.92E+03
4.62E+03,5.61E+03
4.62E+03,5.62E+03
4.62E+03,5.63E+03
4.62E+03,5.63E+03
4.62E+03,5.65E+03
4.62E+03,5.72E+03
4.62E+03,5.99E+03
4.62E+03,6.05E+03
4.62E+03,6.05E+03
4.62E+03,6.07E+03
4.62E+03,6.58E+03
4.62E+03,6.58E+03
4.62E+03,6.89E+03
4.62E+03,7.01E+03
4.62E+03,7.45E+03
4.62E+03,7.49E+03
4.62E+03,7.49E+03
4.62E+03,7.51E+03
4.62E+03,7.52E+03
4.62E+03,7.54E+03
4.62E+03,7.54E+03
4.62E+03,7.61E+03
4.62E+03,7.62E+03
4.62E+03,7.67E+03
4.62E+03,8.42E+03
4.62E+03,8.42E+03
4.61E+03,8.95E+03
4.61E+03,8.96E+03
4.61E+03,8.98E+03
4.61E+03,8.99E+03
4.61E+03,9.00E+03
4.61E+03,9.01E+03
4.61E+03,9.07E+03
4.61E+03,9.20E+03
4.61E+03,9.20E+03
4.61E+03,9.39E+03
4.61E+03,1.01E+04
4.61E+03,1.11E+04
4.61E+03,1.11E+04
4.61E+03,1.11E+04
4.61E+03,1.12E+04
4.61E+03,1.12E+04
4.61E+03,1.13E+04
4.61E+03,1.14E+04
4.61E+03,1.14E+04
4.61E+03,1.16E+04
4.61E+03,1.16E+04
4.61E+03,1.16E+04
4.61E+03,1.17E+04
4.61E+03,1.18E+04
4.61E+03,1.18E+04
4.61E+03,1.18E+04
4.61E+03,1.18E+04
4.61E+03,1.18E+04
4.61E+03,1.19E+04
4.61E+03,1.19E+04
4.61E+03,1.19E+04
4.61E+03,1.20E+04
4.61E+03,1.21E+04
4.61E+03,1.21E+04
4.61E+03,1.22E+04
4.61E+03,1.22E+04
4.61E+03,1.23E+04
4.61E+03,1.26E+04
4.61E+03,1.27E+04
4.61E+03,1.27E+04
4.61E+03,1.27E+04
4.61E+03,1.28E+04
4.61E+03,1.28E+04
4.61E+03,1.28E+04
4.61E+03,1.28E+04
