parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization	objectivePriorType	objectivePriorParameters
kPhCAEA		log	0.001386001	0.13860014	0.020747153	1	0	uniform	
kPhCAEB		log	0.013860014	1.3860014	0.082332189	1	0	uniform	
kDpE2f1		log	0	0.01	0	1	0	uniform	
kPhC25A		log	0	0.01	0	1	0	uniform	
kSySkp2		log	0.00001	0.001	0.000485827	1	0	uniform	
kDeSkp2_1		log	0.00001	0.001	0.000340855	1	0	uniform	
kDeSkp2_2		log	0.0002	0.02	0.029577557	1	0	uniform	
kAsTP53PCDKN1A		log	0.03	3	0.486795757	1	0	uniform	
kDiTP53PCDKN1A		log	0.015	1.5	0.095030071	1	0	uniform	
kSyCDKN1A_1		log	0.000001	0.0001	7.6538E-05	1	0	uniform	
kSyCDKN1A_2		log	0.4	40	2.79194512	1	0	uniform	
kDeCDKN1A_1		log	0.000002	0.0002	0.000413049	1	0	uniform	
kDeCDKN1A_2		log	0.000025	0.0025	0.00025	1	0	uniform	
kAsCdkn1aC		log	0.0007	0.07	0.062723053	1	0	uniform	
kDiCdkn1aC		log	0.00003	0.003	0.000380578	1	0	uniform	
kPhCDKN1AByCe		log	0.0005	0.05	5.02071E-05	1	0	uniform	
kPhCDKN1AByCa		log	0.00002	0.002	0.000115077	1	0	uniform	
kPhCDKN1AByCb		log	0.0002	0.02	0.000403404	1	0	uniform	
kDpCDKN1A		log	0.0002	0.02	0.019999999	1	0	uniform	
kAsFOXOPCDKN1B		log	0.03	3	0.56824615	1	0	uniform	
kDiFOXOPCDKN1B		log	0.015	1.5	0.0015	1	0	uniform	
kSyCDKN1B_1		log	0.000001	0.0001	2.27379E-05	1	0	uniform	
kSyCDKN1B_2		log	0.05	5	0.203819947	1	0	uniform	
kDeCDKN1B_1		log	0.000002	0.0002	0.000251363	1	0	uniform	
kDeCDKN1B_2		log	0.00025	0.025	0.001056432	1	0	uniform	
kAsCdkn1bC		log	0.0007	0.07	0.004161339	1	0	uniform	
kDiCdkn1bC		log	0.00003	0.003	6.52055E-05	1	0	uniform	
kPhCDKN1BByCe		log	0.0005	0.05	0.051862418	1	0	uniform	
kPhCDKN1BByCa		log	0.005	0.5	0.0005	1	0	uniform	
kPhCDKN1BByCb		log	0.00005	0.005	5.04534E-06	1	0	uniform	
kDpCDKN1B		log	0.0002	0.02	0.014756773	1	0	uniform	
ic_wt_cell__CCND		lin	1.00E-01	1.00E+01	3.857236589	1	0	uniform	
ic_wt_cell__CCNE_CDKN1A_B_		lin	5.69E-03	5.69E-01	0.366015703	1	0	uniform	
ic_wt_cell__E2F_DBD_RB1_Ser332u_		lin	9.92E-04	9.92E-02	0.099199998	1	0	uniform	
ic_wt_cell__E2F_DBD_RB1_Ser332p_		lin	3.48E-04	3.48E-02	0.034799999	1	0	uniform	
ic_wt_cell__CCNA_CDKN1A_B_		lin	1.27E-02	1.27E+00	0.055205093	1	0	uniform	
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_		lin	1.47E-02	1.47E+00	0.236008538	1	0	uniform	
ic_wt_cell__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_		lin	2.09E-03	2.09E-01	0.208999997	1	0	uniform	
ic_wt_cell__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_		lin	7.61E-04	7.61E-02	0.046737014	1	0	uniform	
ic_wt_cell__RB1_E2F_Ser807_Ser811u_		lin	7.65E-03	7.65E-01	0.729492942	1	0	uniform	
ic_wt_cell__RB1_E2F_Ser807_Ser811p_		lin	8.95E-02	8.95E+00	3.096243575	1	0	uniform	
ic_wt_cell__PPP2R2B_ENSA_ARPP19_		lin	5.62E-05	5.62E-03	0.001150224	1	0	uniform	
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355u_		lin	3.70E-01	3.70E+01	36.19062603	1	0	uniform	
