parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization	objectivePriorType	objectivePriorParameters
kPhRbD		log	0.000554401	0.055440055	0.002214666	1	0	uniform	
kPhRbE		log	0.000693001	0.069300069	0.006752865	1	0	uniform	
kDpRb		log	0.0001386	0.013860014	0.000546147	1	0	uniform	
kPhRb		log	0.002079002	0.20790021	0.003552381	1	0	uniform	
kSyCe1		log	1.39E-06	0.0001386	0.0001386	1	0	uniform	
kSyCe2		log	0.41580042	41.580042	2.918187124	1	0	uniform	
kDeCe		log	1.39E-05	0.001386001	0.001374232	1	0	uniform	
kDiE2fRb		log	3.47E-05	0.003465004	0.000868589	1	0	uniform	
kAsE2fRb		log	0.034650035	3.4650035	0.058125536	1	0	uniform	
kSyE2f1		log	6.93E-07	6.93E-05	4.19788E-06	1	0	uniform	
kSyE2f2		log	0.069300069	6.9300069	0.473191755	1	0	uniform	
kDeE2f1		log	6.93E-06	0.000693001	6.93E-06	1	0	uniform	
kDeE2f2		log	0.0001386	0.013860014	0.001055483	1	0	uniform	
kPhE2f		log	0.0001386	0.013860014	0.000462484	1	0	uniform	
kDpE2f2		log	0.006930007	0.69300069	0.006930008	1	0	uniform	
kSyEmi1		log	3.47E-06	0.0003465	6.61614E-05	1	0	uniform	
kSyEmi2		log	0.34650035	34.650035	15.79159928	1	0	uniform	
kDeEmi1		log	3.47E-05	0.003465004	0.000141188	1	0	uniform	
kDeEmi2		log	3.47E-05	0.003465004	0.00040148	1	0	uniform	
kDeEmi3		log	0.0003465	0.034650035	0.034358254	1	0	uniform	
kPhEmiA		log	3.47E-06	0.0003465	0.000200704	1	0	uniform	
kPhEmiB		log	1.73E-05	0.001732502	0.001276617	1	0	uniform	
kDpEmi		log	3.47E-07	3.47E-05	2.85724E-06	1	0	uniform	
kSyCa1		log	6.93E-07	6.93E-05	7.08252E-07	1	0	uniform	
kSyCa2		log	0.051975052	5.1975052	0.45409718	1	0	uniform	
kDeCa1		log	6.93E-07	6.93E-05	6.93E-07	1	0	uniform	
kDeCa2		log	0.0002772	0.027720028	0.0002772	1	0	uniform	
kDeCa3		log	6.93E-05	0.006930007	0.000925957	1	0	uniform	
kDpCdh		log	0.0003465	0.034650035	0.007440193	1	0	uniform	
kPhCdhA		log	0.001732502	0.17325017	0.145485233	1	0	uniform	
kPhCdhE		log	6.93E-05	0.006930007	0.000158912	1	0	uniform	
kPhCdhB		log	0.017325017	1.7325017	0.050827865	1	0	uniform	
kDiACE		log	3.47E-05	0.003465004	0.003465004	1	0	uniform	
kAsACE		log	0.034650035	3.4650035	0.061575672	1	0	uniform	
