parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization	objectivePriorType	objectivePriorParameters
kPhRbD		log	9.21E-15	9.21E-13	3.06E-14	1	0	uniform	
kPhRbE		log	1.15E-14	1.15E-12	3.65E-14	1	0	uniform	
kDpRb		log	1.39E-04	1.39E-02	0.003032429	1	0	uniform	
kPhRb		log	3.45E-14	3.45E-12	3.93E-13	1	0	uniform	
kSyCe1		log	1.67E+05	1.67E+07	1934506.832	1	0	uniform	
kSyCe2		log	8.32E-01	8.32E+01	3.515307889	1	0	uniform	
kDeCe		log	1.39E-05	1.39E-03	0.000226019	1	0	uniform	
kDiE2fRb		log	3.47E-05	3.47E-03	4.31E-05	1	0	uniform	
kAsE2fRb		log	5.75E-13	5.75E-11	2.79E-11	1	0	uniform	
kSyE2f1		log	8.35E+04	8.35E+06	395779.7795	1	0	uniform	
kSyE2f2		log	1.39E-01	1.39E+01	0.218328894	1	0	uniform	
kDeE2f1		log	6.93E-06	6.93E-04	1.83E-05	1	0	uniform	
kDeE2f2		log	2.30E-15	2.30E-13	2.83E-15	1	0	uniform	
kPhE2f		log	2.30E-15	2.30E-13	1.90E-13	1	0	uniform	
kDpE2f2		log	1.15E-13	1.15E-11	1.86E-13	1	0	uniform	
kSyEmi1		log	4.17E+05	4.17E+07	26194766	1	0	uniform	
kSyEmi2		log	6.93E-01	6.93E+01	1.229548902	1	0	uniform	
kDeEmi1		log	3.47E-05	3.47E-03	3.53E-05	1	0	uniform	
kDeEmi2		log	3.47E-05	3.47E-03	6.93E-05	1	0	uniform	
kDeEmi3		log	3.47E-03	3.47E-01	0.034378472	1	0	uniform	
kPhEmiA		log	5.75E-17	5.75E-15	8.25E-17	1	0	uniform	
kPhEmiB		log	2.88E-16	2.88E-14	8.83E-15	1	0	uniform	
kDpEmi		log	3.47E-07	3.47E-05	8.02E-07	1	0	uniform	
kSyCa1		log	8.35E+04	8.35E+06	1231787.907	1	0	uniform	
kSyCa2		log	1.04E-01	1.04E+01	0.161490081	1	0	uniform	
kDeCa1		log	6.93E-07	6.93E-05	1.05E-06	1	0	uniform	
kDeCa2		log	4.60E-15	4.60E-13	8.36E-15	1	0	uniform	
kDeCa3		log	1.15E-15	1.15E-13	2.49E-14	1	0	uniform	
kDpCdh		log	3.47E-04	3.47E-02	0.029660085	1	0	uniform	
kPhCdhA		log	2.88E-14	2.88E-12	4.25E-14	1	0	uniform	
kPhCdhE		log	1.15E-15	1.15E-13	7.08E-15	1	0	uniform	
kPhCdhB		log	2.88E-13	2.88E-11	6.70E-13	1	0	uniform	
kDiACE		log	3.47E-04	3.47E-02	0.00347	1	0	uniform	
kAsACE		log	5.75E-12	5.75E-10	5.75E-11	1	0	uniform	
kDiACdh		log	3.47E-05	3.47E-03	0.001383783	1	0	uniform	
kAsACdh		log	5.75E-13	5.75E-11	5.83E-13	1	0	uniform	
kPhCeA		log	1.15E-15	1.15E-13	1.15E-14	1	0	uniform	
kPhCeE		log	1.15E-16	1.15E-14	2.04E-15	1	0	uniform	
kPhFoxE		log	1.15E-16	1.15E-14	1.15E-15	1	0	uniform	
kPhFoxA		log	1.15E-16	1.15E-14	1.16E-15	1	0	uniform	
kPhFoxB		log	5.75E-15	5.75E-13	3.81E-14	1	0	uniform	
