parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization	objectivePriorType	objectivePriorParameters
kPhRbD		log	1.30E-16	9.21E-13	4.85E-15	1	0	uniform	
kPhRbE		log	1.15E-14	4.22E-12	2.35E-12	1	0	uniform	
kDpRb		log	0.000139	0.013899951	0.00293766	1	0	uniform	
kPhRb		log	3.45E-14	3.45E-12	8.86E-13	1	0	uniform	
kSyCe1		log	2773.270542	16699678.07	223094.7984	1	0	uniform	
kSyCe2		log	0.008399488	83.20022066	0.363882053	1	0	uniform	
kDeCe		log	1.39E-05	0.001390002	1.77E-05	1	0	uniform	
kDiE2fRb		log	3.47E-05	0.003470002	0.002978604	1	0	uniform	
kAsE2fRb		log	2.79E-13	2.79E-11	3.26E-12	1	0	uniform	
kSyE2f1		log	83499.84045	835048195.2	18842502.45	1	0	uniform	
kSyE2f2		log	0.218328894	1390.001354	10.61145906	1	0	uniform	
kDeE2f1		log	1.83E-05	0.069303491	0.004435799	1	0	uniform	
kDeE2f2		log	2.33E-19	2.83E-15	2.39E-19	1	0	uniform	
kPhE2f		log	1.90E-13	2.30E-11	4.81E-12	1	0	uniform	
kDpE2f2		log	7.34E-16	1.86E-11	9.94E-14	1	0	uniform	
kSyEmi1		log	416982.6945	41699512.66	38009871.8	1	0	uniform	
kSyEmi2		log	0.693000194	69.29966	0.74660391	1	0	uniform	
kDeEmi1		log	3.53E-07	3.53E-05	2.37E-06	1	0	uniform	
kDeEmi2		log	6.93E-07	6.93E-05	1.99E-06	1	0	uniform	
kDeEmi3		log	0.003470002	0.347000173	0.015687966	1	0	uniform	
kPhEmiA		log	8.25E-19	8.25E-17	3.67E-17	1	0	uniform	
kPhEmiB		log	8.83E-15	2.88E-12	4.22E-13	1	0	uniform	
kDpEmi		log	8.02E-09	2.84E-06	2.46E-07	1	0	uniform	
kSyCa1		log	83499.84045	38511554.17	3810147.085	1	0	uniform	
kSyCa2		log	0.104000456	62.13729164	10.49424237	1	0	uniform	
kDeCa1		log	1.05E-10	1.05E-06	1.31E-08	1	0	uniform	
kDeCa2		log	4.60E-15	4.60E-13	7.82E-15	1	0	uniform	
kDeCa3		log	2.29E-17	1.10E-13	5.80E-15	1	0	uniform	
kDpCdh		log	0.000346999	0.034699847	0.012710057	1	0	uniform	
kPhCdhA		log	2.88E-16	4.25E-14	3.06E-15	1	0	uniform	
kPhCdhE		log	1.15E-17	8.23E-14	1.18E-15	1	0	uniform	
kPhCdhB		log	6.70E-17	6.70E-13	2.70E-15	1	0	uniform	
kDiACE		log	5.96E-06	0.034699847	0.000351673	1	0	uniform	
kAsACE		log	1.11E-13	5.75E-08	8.51E-12	1	0	uniform	
kDiACdh		log	1.38E-05	0.001383789	0.000298284	1	0	uniform	
kAsACdh		log	2.54E-14	2.33E-10	3.15E-12	1	0	uniform	
kPhCeA		log	2.78E-17	1.15E-14	1.82E-16	1	0	uniform	
kPhCeE		log	1.99E-17	2.04E-13	2.19E-17	1	0	uniform	
kPhFoxE		log	1.15E-17	1.15E-13	2.46E-16	1	0	uniform	
kPhFoxA		log	1.15E-16	9.95E-13	1.19E-14	1	0	uniform	
kPhFoxB		log	5.75E-15	5.75E-13	3.11E-13	1	0	uniform	
kDpFox		log	1.00E-06	0.0001	5.83E-05	1	0	uniform	
kSyCb1		log	83499.84045	8350232.995	2254588.761	1	0	uniform	
kSyCb2		log	0.104000456	10.40004362	0.520115003	1	0	uniform	
kDeCb1		log	6.93E-08	6.93E-06	1.38E-06	1	0	uniform	
kDeCb2		log	1.44E-16	1.44E-14	7.04E-16	1	0	uniform	
kDeCb3		log	1.44E-15	1.44E-13	1.21E-13	1	0	uniform	
kPhEnsa		log	1.15E-15	1.15E-13	7.72E-15	1	0	uniform	
kDpEnsa		log	3.60E-05	0.347010583	0.004020957	1	0	uniform	
kPhGw		log	1.15E-14	1.15E-12	3.24E-14	1	0	uniform	
kDpGw1		log	0.000173	0.017299979	0.000730129	1	0	uniform	
kDpGw2		log	1.62E-15	1.62E-13	1.25E-13	1	0	uniform	
kWee1		log	4.40E-20	1.15E-16	4.25E-18	1	0	uniform	
kWee2		log	1.15E-14	1.15E-10	2.82E-11	1	0	uniform	
kPhWeeA		log	1.15E-15	4.97E-12	4.82E-14	1	0	uniform	
kPhWeeB		log	3.22E-15	3.19E-11	3.48E-13	1	0	uniform	
kDpWee		log	1.15E-13	1.15E-11	4.18E-13	1	0	uniform	
kCdc25_1		log	1.15E-16	1.15E-14	2.78E-15	1	0	uniform	
kCdc25_2		log	1.15E-14	1.15E-12	4.13E-14	1	0	uniform	
kDpCdc25		log	1.15E-13	1.44E-09	2.73E-11	1	0	uniform	
kDipEB55		log	4.71E-07	0.001383382	1.50E-05	1	0	uniform	
kAspEB55		log	1.70E-13	6.56E-10	1.31E-12	1	0	uniform	
kSyCdc_1		log	1561.849756	8350232.995	20313.05398	1	0	uniform	
kSyCdc_2		log	0.135063504	15.16773559	7.947511795	1	0	uniform	
kDeCdc_1		log	2.77E-06	0.000277001	4.38E-05	1	0	uniform	
kDeCdc_2		log	4.60E-17	4.60E-13	2.45E-13	1	0	uniform	
kDipACdc		log	8.66E-07	0.008660178	0.000473397	1	0	uniform	
kAspACdc		log	8.01E-14	1.24E-10	9.67E-14	1	0	uniform	
kPhApcA		log	1.15E-15	1.15E-13	4.50E-14	1	0	uniform	
kDpApc_1		log		0.03	0	1	0	uniform	
kDpApc_2		log	5.75E-14	5.75E-11	2.84E-12	1	0	uniform	
kSyFox1		log	83499.84045	8350232.995	103504.4168	1	0	uniform	
kSyFox2		log	0.104000456	1040.004168	8.753057534	1	0	uniform	
kDeFox1		log	6.93E-07	6.93E-05	1.28E-05	1	0	uniform	
kDeFox2		log	2.70E-17	5.75E-11	5.83E-14	1	0	uniform	
kAsEPx		log	5.75E-12	5.75E-10	2.55E-11	1	0	uniform	
kDiEPx		log	0.003482222	3.469984059	0.093955492	1	0	uniform	
kAsFPcb		log	5.75E-13	5.64E-09	5.91E-11	1	0	uniform	
kDiFPcb		log	0.006929969	0.693000194	0.01157955	1	0	uniform	
kAsFPcdc		log	5.75E-13	5.75E-11	5.93E-13	1	0	uniform	
kDiFPcdc		log	0.000329673	1.729999293	0.001910029	1	0	uniform	
kPhC25B		log	1.30E-16	1.15E-12	4.46E-13	1	0	uniform	
kPhCAEE		log	9.07E-16	9.21E-14	2.64E-14	1	0	uniform	
kPhCAEA		log	2.30E-14	2.04E-10	8.19E-11	1	0	uniform	
kPhCAEB		log	7.69E-13	3.64E-08	2.29E-09	1	0	uniform	
kDpE2f1		log		0.010000002	0	1	0	uniform	
kPhC25A		log		0.010000002	0	1	0	uniform	
kSySkp2		log	1199961.463	119999723.9	110013557.9	1	0	uniform	
kDeSkp2_1		log	1.07E-07	0.000999995	7.13E-06	1	0	uniform	
kDeSkp2_2		log	3.32E-15	3.32E-13	5.14E-15	1	0	uniform	
kAsTP53PCDKN1A		log	4.98E-13	4.98E-09	1.26E-10	1	0	uniform	
kDiTP53PCDKN1A		log	0.014999926	1.499999838	0.537096483	1	0	uniform	
kSyCDKN1A_1		log	1199961.463	119999723.9	19624538.66	1	0	uniform	
kSyCDKN1A_2		log	0.008	80	8	1	0	uniform	
kDeCDKN1A_1		log	2.00E-05	0.001999996	0.000909174	1	0	uniform	
kDeCDKN1A_2		log	4.15E-16	4.15E-14	1.10E-15	1	0	uniform	
kAsCdkn1aC		log	7.41E-13	1.82E-06	1.04E-07	1	0	uniform	
kDiCdkn1aC		log	3.00E-07	0.002590113	8.81E-06	1	0	uniform	
kPhCDKN1AByCe		log	9.48E-16	8.30E-13	1.32E-15	1	0	uniform	
kPhCDKN1AByCa		log	4.69E-16	3.32E-12	6.48E-15	1	0	uniform	
kPhCDKN1AByCb		log	3.32E-18	3.32E-14	3.88E-17	1	0	uniform	
kDpCDKN1A		log	0.000200001	0.857510932	0.500233003	1	0	uniform	
kAsFOXOPCDKN1B		log	4.98E-13	4.98E-09	2.94E-11	1	0	uniform	
kDiFOXOPCDKN1B		log	0.000512749	1.499999838	0.004827543	1	0	uniform	
kSyCDKN1B_1		log	1199961.463	119999723.9	11095832.19	1	0	uniform	
kSyCDKN1B_2		log	0.099999509	10.00004907	7.175580862	1	0	uniform	
kDeCDKN1B_1		log	2.00E-05	0.200003583	0.007261062	1	0	uniform	
kDeCDKN1B_2		log	4.15E-15	4.15E-13	1.29E-14	1	0	uniform	
kAsCdkn1bC		log	1.16E-14	1.16E-12	1.41E-13	1	0	uniform	
kDiCdkn1bC		log	3.00E-07	0.002740981	8.50E-06	1	0	uniform	
kPhCDKN1BByCe		log	4.24E-15	4.46E-13	1.21E-14	1	0	uniform	
kPhCDKN1BByCa		log	8.30E-14	6.15E-08	1.70E-10	1	0	uniform	
kPhCDKN1BByCb		log	8.30E-18	8.30E-16	1.08E-17	1	0	uniform	
kDpCDKN1B		log	8.52E-06	0.02000006	0.000657843	1	0	uniform	
kPhNup		log	4.98	498	0	0	0	uniform	
kDpNup_1		log	0.2	20	0	0	0	uniform	
kImImCCND_1		log	0.000166	0.016600043	0.003905298	1	0	uniform	
kExImCCND_1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImCCNE_CDKN1A_B__1		log	0.001139552	16.74518969	0.243543843	1	0	uniform	
kExImCCNE_CDKN1A_B__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImE2F_DBD_RB1_Ser332u__1		log	0.000166	0.016600043	0.000377805	1	0	uniform	
kExImE2F_DBD_RB1_Ser332u__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImE2F_DBD_RB1_Ser332p__1		log	0.008357794	16.59995526	0.124812086	1	0	uniform	
kExImE2F_DBD_RB1_Ser332p__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImCCNA_CDKN1A_B__1		log	0.160394001	16.59995526	5.126720928	1	0	uniform	
kExImCCNA_CDKN1A_B__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImCCNB_CDK1_Thr14_Tyr15u_CDKN1A__1		log	0.000461299	0.165999583	0.034974628	1	0	uniform	
kExImCCNB_CDK1_Thr14_Tyr15u_CDKN1A__1		log	0.00166	0.166	0.016605779	0	0	uniform	
kImImE2F_DBD_RB11_Ser332u__RB1_E2F1_Ser807_Ser811u__1		log	0.001659996	0.165999583	0.050905548	1	0	uniform	
kExImE2F_DBD_RB11_Ser332u__RB1_E2F1_Ser807_Ser811u__1		log	0.00166	0.166	0.016605779	0	0	uniform	
