parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization	objectivePriorType	objectivePriorParameters
kPhRbD		log	1.3000000000484096e-16	9.20999999958905e-13	1.9631624740712513e-14	1	0	uniform	
kPhRbE		log	1.1500000000477029e-14	4.219999999918253e-12	1.8556652305219423e-13	1	0	uniform	
kDpRb		log	0.00013900000000466794	0.013899951000438691	0.002405222604800599	1	0	uniform	
kPhRb		log	4.0499999999444393e-16	4.0499999999926785e-14	2.8004603789403915e-14	1	0	uniform	
kSyCe1		log	2773.2705420414277	16699678.07074037	7712092.714335296	1	0	uniform	
kSyCe2		log	0.00839948799976056	83.20022066107263	3.17664197624125	1	0	uniform	
kDeCe		log	1.3900000000384037e-05	0.0013900019999883951	0.0006862304060284682	1	0	uniform	
kDiE2fRb		log	3.470000000039771e-05	0.003470001999842668	0.0012590345147019193	1	0	uniform	
kAsE2fRb		log	2.789999999970202e-13	2.7900000000034236e-11	5.110641336104627e-13	1	0	uniform	
kSyE2f1		log	83499.8404534503	835048195.2401996	1964124.6571980868	1	0	uniform	
kSyE2f2		log	0.21832889401007305	1390.001353965274	14.192695493472062	1	0	uniform	
kDeE2f1		log	1.830000000030924e-05	0.06930349099824601	0.0006936189442965958	1	0	uniform	
kDeE2f2		log	1.6066348232490384e-23	1.9551640705428373e-19	1.891736990237797e-19	1	0	uniform	
kPhE2f		log	1.8999999999053768e-13	2.299999999998613e-11	2.5694182204330352e-12	1	0	uniform	
kDpE2f2		log	7.339999999840781e-16	1.860000000017469e-11	8.200158688620872e-13	1	0	uniform	
kSyEmi1		log	416982.6944917478	41699512.66040924	1317275.100278988	1	0	uniform	
kSyEmi2		log	0.6930001940346452	69.2996600014611	4.023371320463453	1	0	uniform	
kDeEmi1		log	3.530000000046291e-07	3.5300000000883304e-05	1.6429746886145868e-05	1	0	uniform	
kDeEmi2		log	6.929999999698597e-07	6.929999999781127e-05	3.498141516944254e-05	1	0	uniform	
kDeEmi3		log	0.003470001999842668	0.34700017299178454	0.005538575452185868	1	0	uniform	
kPhEmiA		log	5.749999999871262e-19	5.74999999993971e-17	8.974721795141415e-19	1	0	uniform	
kPhEmiB		log	8.829999999954204e-15	2.8799999999444e-12	6.024159894601911e-14	1	0	uniform	
kDpEmi		log	8.14999999994816e-09	2.885765306206891e-06	2.1741917232842634e-06	1	0	uniform	
kSyCa1		log	83499.8404534503	38511554.16822045	607074.9494903518	1	0	uniform	
kSyCa2		log	0.10400045600363919	62.13729163959242	0.22588200812092818	1	0	uniform	
kDeCa1		log	1.049999999969575e-10	1.0499999999945842e-06	1.0746983874352311e-10	1	0	uniform	
kDeCa2		log	7.450000000187539e-14	7.450000000276248e-12	6.846568914084538e-13	1	0	uniform	
kDeCa3		log	1.561363636318159e-20	7.499999999673843e-17	1.2351866094998722e-17	1	0	uniform	
kDpCdh		log	0.00034699899998818384	0.03469984699864484	0.008890012538527017	1	0	uniform	
kPhCdhA		log	2.0549871456591373e-16	3.0325331143250164e-14	2.894272204692853e-14	1	0	uniform	
kPhCdhE		log	1.7000559807534373e-21	1.2166487584049925e-17	8.28996068722298e-20	1	0	uniform	
kPhCdhB		log	6.629999999848776e-21	6.630000000006668e-17	2.116438214154353e-20	1	0	uniform	
kDiACE		log	5.959999999922616e-06	0.03469984699864484	0.009198165563986779	1	0	uniform	
kAsACE		log	1.1099999999981703e-13	5.7500000002478636e-08	6.104496185682403e-10	1	0	uniform	
kDiACdh		log	3.459999999960856e-07	3.470000000039771e-05	4.0792177274022615e-07	1	0	uniform	
kAsACdh		log	2.5399999999649333e-14	2.3299999999134337e-10	1.0670141645733717e-10	1	0	uniform	
kPhCeA		log	6.333565217267913e-20	2.620000000067512e-17	7.754793050413478e-20	1	0	uniform	
kPhCeE		log	2.317913043384923e-21	2.380000000036637e-17	8.292170014932212e-20	1	0	uniform	
kPhFoxE		log	1.1500000000271607e-17	1.1500000000545517e-13	4.990847310040719e-16	1	0	uniform	
kPhFoxA		log	1.1500000000340053e-16	9.949999999523332e-13	3.780042754630659e-15	1	0	uniform	
kPhFoxB		log	5.750000000008197e-15	5.750000000076686e-13	5.2065891575078193e-14	1	0	uniform	
kDpFox		log	1.039999999999048e-08	1.0400000000114316e-06	1.2210666629354857e-08	1	0	uniform	
kSyCb1		log	83499.8404534503	8350232.994744856	3336037.4321914054	1	0	uniform	
kSyCb2		log	0.10400045600363919	10.400043620319279	9.843245752297063	1	0	uniform	
kDeCb1		log	6.929999999657325e-08	6.929999999739868e-06	3.102561202922012e-06	1	0	uniform	
kDeCb2		log	1.4400000000242247e-16	1.4400000000413714e-14	8.85728080939525e-15	1	0	uniform	
kDeCb3		log	1.4400000000327954e-15	1.440000000049947e-13	3.6603646501270975e-15	1	0	uniform	
kPhEnsa		log	1.1500000000408582e-15	1.1500000000545517e-13	4.380258176427932e-14	1	0	uniform	
kDpEnsa		log	3.600000000029389e-05	0.3470105830143217	0.0032342406342033363	1	0	uniform	
kPhGw		log	1.1400000000116697e-14	1.140000000025244e-12	9.22094090554352e-13	1	0	uniform	
kDpGw1		log	0.0001729999999942035	0.017299978999169123	0.009615512729340426	1	0	uniform	
kDpGw2		log	1.1500000000545517e-13	1.1499999999532472e-11	6.669201693148888e-13	1	0	uniform	
kWee1		log	1.111120924395704e-21	2.9040660526095034e-18	1.6773104972847144e-21	1	0	uniform	
kWee2		log	1.1500000000477029e-14	1.1499999999600918e-10	1.3023461798690226e-12	1	0	uniform	
kPhWeeA		log	1.1500000000408582e-15	4.970000000099461e-12	1.8460699187776586e-14	1	0	uniform	
