parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization	objectivePriorType	objectivePriorParameters
kPhRbD		log	9.20987607700007e-15	9.210150664448363e-13	1.2964062078315597e-14	1	0	uniform	
kPhRbE		log	1.1500337639683448e-14	1.1499530505447953e-12	4.2221737154048996e-14	1	0	uniform	
kDpRb		log	0.0001389995308526596	0.01389995050004046	0.000769643317746549	1	0	uniform	
kPhRb		log	3.4500588950158183e-14	3.450161756646151e-12	2.6091020949114215e-13	1	0	uniform	
kSyCe1		log	166991.80193761393	16699678.07074037	277335.3225583579	1	0	uniform	
kSyCe2		log	0.8319998653499033	83.20022066107263	1.7535284810528604	1	0	uniform	
kDeCe		log	1.3900301881082116e-05	0.0013900021292585867	0.00018696891064810055	1	0	uniform	
kDiE2fRb		log	3.469898923881896e-05	0.0034700023770319064	4.1215464037519785e-05	1	0	uniform	
kAsE2fRb		log	2.7899012722660504e-13	2.7899844516557554e-11	3.4439005014875343e-12	1	0	uniform	
kSyE2f1		log	94182.67875585813	835048195.2401994	8350232.994744025	1	0	uniform	
kSyE2f2		log	0.2183294758573509	1390.0013536872736	3.5638006818441452	1	0	uniform	
kDeE2f1		log	1.8300173816364714e-05	0.06930349092201217	0.000393981888387465	1	0	uniform	
kDeE2f2		log	2.2999315588892383e-17	2.3000001300983184e-15	2.829915627604158e-17	1	0	uniform	
kPhE2f		log	1.899909415384811e-13	2.300061870830776e-11	8.213246231657068e-13	1	0	uniform	
kDpE2f2		log	1.1500000650491026e-13	1.8599247370122402e-11	1.8600000000001582e-13	1	0	uniform	
kSyEmi1		log	416982.69453344605	41699512.66457912	2411187.680267969	1	0	uniform	
kSyEmi2		log	0.6930001938960452	69.2996600014611	1.2418376784686427	1	0	uniform	
kDeEmi1		log	3.529992163454993e-07	3.530097408252269e-05	3.7035931887326092e-06	1	0	uniform	
kDeEmi2		log	6.929555369916987e-07	6.929969866820634e-05	1.7079384034009226e-06	1	0	uniform	
kDeEmi3		log	0.0034700023770319064	0.34700017316528464	0.005091896897841569	1	0	uniform	
