parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization
kDpGw1		log	1.73E-04	1.73E-02	0.001357455	1	0
kDpGw2		log	6.93E-03	6.93E-01	0.012658758	1	0
kWee1		log	6.93E-06	6.93E-04	6.96027E-06	1	0
kWee2		log	6.93E-04	6.93E-02	0.004244879	1	0
kPhWeeA		log	6.93E-05	6.93E-03	0.003390069	1	0
kPhWeeB		log	6.93E-04	6.93E-02	0.013418298	1	0
kDpWee		log	6.93E-03	6.93E-01	0.024661967	1	0
kCdc25_1		log	6.93E-05	6.93E-03	0.000298381	1	0
kCdc25_2		log	6.93E-04	6.93E-02	0.006022463	1	0
kDpCdc25		log	6.93E-03	6.93E-01	0.064036695	1	0
kDipEB55		log	4.71E-06	4.71E-04	0.000235892	1	0
kAspEB55		log	3.95E-02	3.95E+00	0.099513497	1	0
kSyCdc_1		log	6.93E-07	6.93E-05	3.00872E-05	1	0
kSyCdc_2		log	6.93E-02	6.93E+00	0.428872331	1	0
kDeCdc_1		log	2.77E-06	2.77E-04	1.81404E-05	1	0
kDeCdc_2		log	2.77E-05	2.77E-03	2.76994E-05	1	0
kDipACdc		log	8.66E-05	8.66E-03	0.000349824	1	0
kAspACdc		log	6.93E-04	6.93E-02	0.00126721	1	0
kPhApcA		log	6.93E-06	6.93E-04	0.00066107	1	0
kDpApc		log	3.47E-03	3.47E-01	0.1475068	1	0
kSyFox1		log	6.93E-07	6.93E-05	9.01943E-07	1	0
kSyFox2		log	5.20E-02	5.20E+00	0.057565549	1	0
kDeFox1		log	6.93E-07	6.93E-05	1.62882E-06	1	0
kDeFox2		log	3.47E-04	3.47E-02	0.017614427	1	0
kAsEPx		log	3.47E-02	3.47E+00	0.243183008	1	0
kDiEPx		log	3.47E-03	3.47E-01	0.003541868	1	0
kAsFPcb		log	3.47E-02	3.47E+00	0.130990039	1	0
kDiFPcb		log	6.93E-03	6.93E-01	0.039783302	1	0
kAsFPcdc		log	3.47E-02	3.47E+00	0.260495159	1	0
