observableId	simulationConditionId	measurement	time
obs_cycA__nuc_median	wt	0.912395174	17794.38975
obs_cycA__nuc_median	wt	0.724995957	17991.55337
obs_cycA__nuc_median	wt	1.148272048	18189.11165
obs_cycA__nuc_median	wt	1.198196895	18387.06625
obs_cycA__nuc_median	wt	1.203985277	18585.41879
obs_cycA__nuc_median	wt	1.408749642	18784.17079
obs_cycA__nuc_median	wt	1.182278843	18983.32396
obs_cycA__nuc_median	wt	1.48472221	19182.8798
obs_cycA__nuc_median	wt	1.067234597	19382.84001
obs_cycA__nuc_median	wt	1.156231121	19583.20625
obs_cycA__nuc_median	wt	1.537541343	19783.98016
obs_cycA__nuc_median	wt	1.24450405	19985.16337
obs_cycA__nuc_median	wt	1.528135174	20186.75766
obs_cycA__nuc_median	wt	1.500640357	20388.76455
obs_cycA__nuc_median	wt	1.331329883	20591.1858
obs_cycA__nuc_median	wt	1.476039636	20794.02319
obs_cycA__nuc_median	wt	1.406578951	20997.27831
obs_cycA__nuc_median	wt	1.002838699	21200.95299
obs_cycA__nuc_median	wt	1.203261777	21405.04894
obs_cycA__nuc_median	wt	1.418155716	21609.56781
obs_cycA__nuc_median	wt	1.687315979	21814.51152
obs_cycA__nuc_median	wt	1.514387813	22019.8817
obs_cycA__nuc_median	wt	1.38053123	22225.6802
obs_cycA__nuc_median	wt	1.368954464	22431.9088
obs_cycA__nuc_median	wt	1.578783522	22638.56921
obs_cycA__nuc_median	wt	1.378360539	22845.66341
obs_cycA__nuc_median	wt	1.132353996	23053.19311
obs_cycA__nuc_median	wt	1.205432373	23261.16023
obs_cycA__nuc_median	wt	1.185173034	23469.56648
obs_cycA__nuc_median	wt	1.80380732	23678.41384
obs_cycA__nuc_median	wt	1.604831433	23887.70416
obs_cycA__nuc_median	wt	1.669950736	24097.43929
obs_cycA__nuc_median	wt	1.219179829	24307.62114
obs_cycA__nuc_median	wt	1.539711939	24518.25162
obs_cycA__nuc_median	wt	1.704681032	24729.33265
obs_cycA__nuc_median	wt	1.719152178	24940.86615
obs_cycA__nuc_median	wt	1.694551362	25152.85409
obs_cycA__nuc_median	wt	2.370346068	25365.29834
obs_cycA__nuc_median	wt	1.421773503	25578.201
obs_cycA__nuc_median	wt	1.809595702	25791.56399
obs_cycA__nuc_median	wt	1.604831433	26005.3893
obs_cycA__nuc_median	wt	1.736517231	26219.67898
obs_cycA__nuc_median	wt	1.910892492	26434.43493
obs_cycA__nuc_median	wt	1.892080249	26649.6593
obs_cycA__nuc_median	wt	2.031725215	26865.35411
obs_cycA__nuc_median	wt	1.779930194	27081.52144
obs_cycA__nuc_median	wt	2.035343001	27298.16332
obs_cycA__nuc_median	wt	2.053431554	27515.28189
obs_cycA__nuc_median	wt	2.049813863	27732.87918
obs_cycA__nuc_median	wt	1.706128127	27950.9574
obs_cycA__nuc_median	wt	1.304558566	28169.51858
obs_cycA__nuc_median	wt	1.752435283	28388.56493
obs_cycA__nuc_median	wt	2.418100319	28608.09863
obs_cycA__nuc_median	wt	2.012189376	28828.12173
obs_cycA__nuc_median	wt	1.103412083	29048.63656
obs_cycA__nuc_median	wt	1.801636724	29269.6453
obs_cycA__nuc_median	wt	0.897200623	29491.15009
obs_cycA__nuc_median	wt	1.817554681	29713.15316
obs_cycA__nuc_median	wt	2.25023694	29935.65686
obs_cycA__nuc_median	wt	2.095397518	30158.66336
obs_cycA__nuc_median	wt	1.827684445	30382.175
obs_cycA__nuc_median	wt	2.211165263	30606.19403
obs_cycA__nuc_median	wt	1.845773188	30830.72277
obs_cycA__nuc_median	wt	1.055657832	31055.76356
obs_cycA__nuc_median	wt	1.613513912	31281.31872
obs_cycA__nuc_median	wt	2.185117637	31507.39063
obs_cycA__nuc_median	wt	1.421049907	31733.98164
obs_cycA__nuc_median	wt	0.900818315	31961.09413
obs_cycA__nuc_median	wt	0.817610173	32188.73056
obs_cycA__nuc_median	wt	0.810374695	32416.89326
obs_cycA__nuc_median	wt	2.233595293	32645.58476
obs_cycA__nuc_median	wt	1.787889268	32874.80752
obs_cycA__nuc_median	wt	0.997050317	33104.56395
obs_cycA__nuc_median	wt	1.947793478	33334.85655
obs_cycA__nuc_median	wt	1.950687764	33565.68788
obs_cycA__nuc_median	wt	2.300161882	33797.06039
obs_cycA__nuc_median	wt	2.661936266	34028.97668
obs_cycA__nuc_median	wt	2.312462148	34261.43934
obs_cycA__nuc_median	wt	3.517894521	34494.45085
obs_cycA__nuc_median	wt	3.549730625	34728.01394
obs_cycA__nuc_median	wt	2.134469195	34962.13106
obs_cycA__nuc_median	wt	1.824066659	35196.80503
obs_cycA__nuc_median	wt	3.122836937	35432.03838
obs_cycA__nuc_median	wt	2.053431554	35667.83377
obs_cycA__nuc_median	wt	2.202482784	35904.194
obs_cycA__nuc_median	wt	3.033840319	36141.12168
obs_cycA__nuc_median	wt	2.687983987	36378.61962
obs_cycA__nuc_median	wt	2.766127246	36616.69054
obs_cycA__nuc_median	wt	2.97957428	36855.33718
obs_cycA__nuc_median	wt	0.659876559	37094.56235
obs_cycA__nuc_median	wt	2.889854161	37334.36892
obs_cycA__nuc_median	wt	1.580230807	37574.75962
obs_cycA__nuc_median	wt	2.574386743	37815.73741
obs_cycA__nuc_median	wt	1.835643519	38057.30507
obs_cycA__nuc_median	wt	2.665553957	38299.46549
obs_cycA__nuc_median	wt	1.996994919	38542.22167
obs_cycA__nuc_median	wt	1.47314554	38785.57656
obs_cycA__nuc_median	wt	2.946290985	39029.53303
obs_cycA__nuc_median	wt	1.953581955	39274.09408
obs_cycA__nuc_median	wt	2.038960693	39519.26273
obs_cycA__nuc_median	wt	2.231424697	39765.04206
obs_cycA__nuc_median	wt	3.606167544	40011.43507
obs_cycA__nuc_median	wt	3.2660995	40258.44477
obs_cycA__nuc_median	wt	2.613458514	40506.07439
obs_cycA__nuc_median	wt	2.802304827	40754.32692
obs_cycA__nuc_median	wt	2.049813863	41003.20559
obs_cycA__nuc_median	wt	2.392052597	41252.71353
obs_cycA__nuc_median	wt	3.95130047	41502.85398
obs_cycA__nuc_median	wt	3.439751451	41753.63006
obs_cycA__nuc_median	wt	4.140146593	42005.04507
obs_cycA__nuc_median	wt	0.889965145	42257.10228
obs_cycA__nuc_median	wt	0.636723029	42509.80499
obs_cycA__nuc_median	wt	1.1649136	42763.15647
obs_cycA__nuc_median	wt	0.615740095	43017.16
obs_cycA__nuc_median	wt	0.625146169	43271.81909
obs_cycA__nuc_median	wt	0.963767117	43527.13707
obs_cycA__nuc_median	wt	1.185896629	43783.11736
obs_cycA__nuc_median	wt	0.64974689	44039.7634
obs_cycA__nuc_median	wt	0.597651352	44297.07866
obs_cycA__nuc_median	wt	0.465965459	44555.06656
obs_cycA__nuc_median	wt	0.372627648	44813.73081
obs_cycA__nuc_median	wt	0.502142945	45073.07481
obs_cycA__nuc_median	wt	0.664217846	45333.1022
obs_cycA__nuc_median	wt	0.651917486	45593.81659
obs_cycA__nuc_median	wt	0.380586722	45855.22163
obs_cycA__nuc_median	wt	0.382033817	46117.32099
obs_cycA__nuc_median	wt	0.817610173	46380.1183
obs_cycA__nuc_median	wt	0.813268981	46643.6174
obs_cycA__nuc_median	wt	0.625146169	46907.82191
obs_cycA__nuc_median	wt	0.631658147	47172.73572
obs_cycA__nuc_median	wt	0.428340878	47438.36268
obs_cycA__nuc_median	wt	0.601992639	47704.70653
obs_cycA__nuc_median	wt	0.555685483	47971.77119
obs_cycA__nuc_median	wt	0.619357786	48239.56061
obs_cycA__nuc_median	wt	0.774197304	48508.07876
obs_cycA__nuc_median	wt	0.558579675	48777.32948
obs_cycA__nuc_median	wt	0.426893877	49047.31693
obs_cycA__nuc_median	wt	0.442088334	49318.04502
obs_cycA__nuc_median	wt	0.732231436	49589.51799
obs_cycA__nuc_median	wt	0.396504774	49861.73973
obs_cycA__nuc_median	wt	0.454388694	50134.71462
obs_cycA__nuc_median	wt	0.560026865	50408.44663
obs_cycA__nuc_median	wt	0.622251978	50682.94014
obs_cycA__nuc_median	wt	0.463071268	50958.19925
obs_cycA__nuc_median	wt	0.51371971	51234.22834
obs_cycA__nuc_median	wt	0.405187347	51511.03178
obs_cycA__nuc_median	wt	0.510825519	51788.61376
obs_cycA__nuc_median	wt	0.470306746	52066.97878
obs_cycA__nuc_median	wt	0.588968778	52346.13128
obs_cycA__nuc_median	wt	0.519508092	52626.07572
obs_cycA__nuc_median	wt	0.454388694	52906.81655
obs_cycA__nuc_median	wt	0.34296214	53188.3584
obs_cycA__nuc_median	wt	0.346579927	53470.70574
obs_cycA__nuc_median	wt	0.596204256	53753.86334
obs_cycA__nuc_median	wt	0.489118989	54037.83572
obs_cycA__nuc_median	wt	0.338620853	54322.62767
obs_cycA__nuc_median	wt	0.36466867	54608.24391
obs_cycA__nuc_median	wt	0.348750523	54894.68922
obs_cycA__nuc_median	wt	0.454388694	55181.9684
obs_cycA__nuc_median	wt	0.444259025	55470.08644
obs_cycA__nuc_median	wt	0.482607106	55759.04805
obs_cycA__nuc_median	wt	0.460177077	56048.85837
obs_cycA__nuc_median	wt	0.588968778	56339.52233
obs_cycA__nuc_median	wt	0.487671988	56631.04497
obs_cycA__nuc_median	wt	0.314020227	56923.43138
obs_cycA__nuc_median	wt	0.354538905	57216.68673
obs_cycA__nuc_median	wt	0.474648033	57510.8161
obs_cycA__nuc_median	wt	0.408805134	57805.82482
obs_cycA__nuc_median	wt	0.450047407	58101.71809
obs_cycA__nuc_median	wt	0.409528634	58398.50132
obs_cycA__nuc_median	wt	0.473200937	58696.17983
obs_cycA__nuc_median	wt	0.544108718	58994.75896
obs_cycA__nuc_median	wt	0.423999686	59294.24432
obs_cycA__nuc_median	wt	0.45583579	59594.64132
obs_cycA__nuc_median	wt	0.405910943	59895.95557
obs_cycA__nuc_median	wt	0.5491736	60198.19266
obs_cycA__nuc_median	wt	0.528914262	60501.35836
obs_cycA__nuc_median	wt	0.372627648	60805.45826
obs_cycA__nuc_median	wt	0.450047407	61110.49818
obs_cycA__nuc_median	wt	0.27494855	61416.48394
obs_cycA__nuc_median	wt	0.545555814	61723.42149
obs_cycA__nuc_median	wt	0.506484232	62031.31677
obs_cycA__nuc_median	wt	0.412422826	62340.17567
obs_cycA__nuc_median	wt	0.502866445	62650.00427
obs_cycA__nuc_median	wt	0.333556066	62960.80874
obs_cycA__nuc_median	wt	0.60488683	63272.59523
obs_cycA__nuc_median	wt	0.436299951	63585.36996
obs_cycA__nuc_median	wt	0.462347767	63899.13923
obs_cycA__nuc_median	wt	0.5484501	64213.90933
obs_cycA__nuc_median	wt	0.50359004	64529.68668
obs_cycA__nuc_median	wt	0.423999686	64846.47773
obs_cycA__nuc_median	wt	0.46885965	65164.28909
obs_cycA__nuc_median	wt	0.361050883	65483.12735
obs_cycA__nuc_median	wt	0.321255706	65802.99906
obs_cycA__nuc_median	wt	0.512272614	66123.911
obs_cycA__nuc_median	wt	0.475371628	66445.87
obs_cycA__nuc_median	wt	0.520231593	66768.88285
obs_cycA__nuc_median	wt	0.454388694	67092.95651
obs_cycA__nuc_median	wt	0.367562861	67418.09796
obs_cycA__nuc_median	wt	0.386375104	67744.31425
obs_cycA__nuc_median	wt	0.523849379	68071.61256
obs_cycB1__nuc_median	wt	0.785500343	0
obs_cycB1__nuc_median	wt	0.869982064	164.6044632
obs_cycB1__nuc_median	wt	0.850209774	329.4838944
