parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization
kPhRbD		log	5.54E-04	5.54E-02	0.000552229	1	0
kPhRbE		log	6.93E-04	6.93E-02	0.000650025	1	0
kDpRb		log	1.39E-04	1.39E-02	0.000248576	1	0
kPhRb		log	2.08E-03	2.08E-01	0.002103008	1	0
kSyCe1		log	1.39E-06	1.39E-04	0.000133476	1	0
kSyCe2		log	4.16E-01	4.16E+01	0.744359018	1	0
kDeCe		log	1.39E-05	1.39E-03	0.001381509	1	0
kDiE2fRb		log	3.47E-05	3.47E-03	3.48241E-05	1	0
kAsE2fRb		log	3.47E-02	3.47E+00	0.040712594	1	0
kSyE2f1		log	6.93E-07	6.93E-05	1.57987E-05	1	0
kSyE2f2		log	6.93E-02	6.93E+00	0.664222161	1	0
kDeE2f1		log	6.93E-06	6.93E-04	0.000207663	1	0
kDeE2f2		log	1.39E-04	1.39E-02	0.011982072	1	0
kPhE2f		log	1.39E-04	1.39E-02	0.001220743	1	0
kDpE2f2		log	6.93E-03	6.93E-01	0.006008756	1	0
kSyEmi1		log	3.47E-06	3.47E-04	7.82383E-06	1	0
kSyEmi2		log	3.47E-01	3.47E+01	4.501289353	1	0
kDeEmi1		log	3.47E-05	3.47E-03	3.47431E-05	1	0
kDeEmi2		log	3.47E-05	3.47E-03	0.001069617	1	0
kDeEmi3		log	3.47E-04	3.47E-02	0.000388812	1	0
kPhEmiA		log	3.47E-06	3.47E-04	4.84105E-06	1	0
kPhEmiB		log	1.73E-05	1.73E-03	0.000591282	1	0
kDpEmi		log	3.47E-07	3.47E-05	1.51511E-05	1	0
kSyCa1		log	6.93E-07	6.93E-05	1.29365E-05	1	0
kSyCa2		log	5.20E-02	5.20E+00	0.252890304	1	0
kDeCa1		log	6.93E-07	6.93E-05	7.17036E-06	1	0
kDeCa2		log	2.77E-04	2.77E-02	0.000433023	1	0
kDeCa3		log	6.93E-05	6.93E-03	0.002343092	1	0
kDpCdh		log	3.47E-04	3.47E-02	0.001008053	1	0
kPhCdhA		log	1.73E-03	1.73E-01	0.061225662	1	0
kPhCdhE		log	6.93E-05	6.93E-03	0.000452331	1	0
kPhCdhB		log	1.73E-02	1.73E+00	0.001746163	1	0
kDiACE		log	3.47E-05	3.47E-03	3.70983E-06	1	0
kAsACE		log	3.47E-02	3.47E+00	3.461535669	1	0
kDiACdh		log	3.47E-05	3.47E-03	0.002354244	1	0
kAsACdh		log	3.47E-02	3.47E+00	0.062538312	1	0
kPhCeA		log	6.93E-04	6.93E-02	0.000193808	1	0
kPhCeE		log	6.93E-06	6.93E-04	0.000962949	1	0
kPhFoxE		log	6.93E-05	6.93E-03	0.000437488	1	0
kPhFoxA		log	6.93E-05	6.93E-03	3.58978E-05	1	0
kPhFoxB		log	3.47E-04	3.47E-02	0.008165616	1	0
kDpFox		log	3.47E-06	3.47E-04	0.000172012	1	0
kSyCb1		log	6.93E-07	6.93E-05	1.49399E-06	1	0
kSyCb2		log	5.20E-02	5.20E+00	0.075625038	1	0
kDeCb1		log	6.93E-07	6.93E-05	6.36176E-06	1	0
kDeCb2		log	8.66E-05	8.66E-03	0.000100791	1	0
kDeCb3		log	8.66E-05	8.66E-03	0.001051293	1	0
kPhEnsa		log	6.93E-05	6.93E-03	0.006941894	1	0
kDpEnsa		log	3.47E-05	3.47E-03	0.002119283	1	0
kPhGw		log	6.93E-04	6.93E-02	0.034828564	1	0
kDpGw1		log	1.73E-04	1.73E-02	0.013811101	1	0
kDpGw2		log	6.93E-03	6.93E-01	0.019303446	1	0
kWee1		log	6.93E-06	6.93E-04	0.000568201	1	0
kWee2		log	6.93E-04	6.93E-02	0.006079447	1	0
kPhWeeA		log	6.93E-05	6.93E-03	0.006596466	1	0
kPhWeeB		log	6.93E-04	6.93E-02	0.002327105	1	0
kDpWee		log	6.93E-03	6.93E-01	0.675748822	1	0
kCdc25_1		log	6.93E-05	6.93E-03	0.000240822	1	0
kCdc25_2		log	6.93E-04	6.93E-02	0.033861543	1	0
kDpCdc25		log	6.93E-03	6.93E-01	0.119017188	1	0
kDipEB55		log	4.71E-06	4.71E-04	6.18494E-06	1	0
kAspEB55		log	3.95E-02	3.95E+00	1.47330869	1	0
kSyCdc_1		log	6.93E-07	6.93E-05	6.71054E-05	1	0
kSyCdc_2		log	6.93E-02	6.93E+00	2.220218232	1	0
kDeCdc_1		log	2.77E-06	2.77E-04	7.09673E-05	1	0
kDeCdc_2		log	2.77E-05	2.77E-03	2.86494E-06	1	0
kDipACdc		log	8.66E-05	8.66E-03	1.75411E-05	1	0
kAspACdc		log	6.93E-04	6.93E-02	0.001713229	1	0
kPhApcA		log	6.93E-06	6.93E-04	0.000690762	1	0
kDpApc		log	3.47E-03	3.47E-01	0.704938672	1	0
kSyFox1		log	6.93E-07	6.93E-05	2.19169E-06	1	0
kSyFox2		log	5.20E-02	5.20E+00	0.079235414	1	0
kDeFox1		log	6.93E-07	6.93E-05	9.61493E-06	1	0
kDeFox2		log	3.47E-04	3.47E-02	0.022092348	1	0
kAsEPx		log	3.47E-02	3.47E+00	0.366685881	1	0
kDiEPx		log	3.47E-03	3.47E-01	0.004540275	1	0
kAsFPcb		log	3.47E-02	3.47E+00	0.071413816	1	0
kDiFPcb		log	6.93E-03	6.93E-01	0.02472967	1	0
kAsFPcdc		log	3.47E-02	3.47E+00	3.39066496	1	0
kDiFPcdc		log	1.73E-02	1.73E+00	0.013556834	1	0
kPhC25B		log	6.93E-04	6.93E-02	0.070573483	1	0
kPhCAEE		log	5.54E-05	5.54E-03	0.004480727	1	0
kPhCAEA		log	1.39E-03	1.39E-01	0.055108926	1	0
kPhCAEB		log	1.39E-02	1.39E+00	0.055767801	1	0
kDpE2f1		log	0.00E+00	0.00E+00	0	0	0
kPhC25A		log	0.00E+00	0.00E+00	0	0	0
ic_wt_cell__CCND		lin	1.00E-01	1.00E+01	0.099370129	1	0
ic_wt_cell__CCNE		lin	2.32E-02	2.32E+00	0.090996058	1	0
ic_wt_cell__E2F_DBD_RB1_Ser332u_		lin	1.85E-03	1.85E-01	0.092483735	1	0
ic_wt_cell__E2F_DBD_RB1_Ser332p_		lin	3.81E-06	3.81E-04	1.42725E-05	1	0
ic_wt_cell__CCNA		lin	7.03E-04	7.03E-02	0.070277381	1	0
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15u_		lin	1.88E-04	1.88E-02	0.016699275	1	0
ic_wt_cell__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_		lin	7.15E-03	7.15E-01	0.047915359	1	0
ic_wt_cell__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_		lin	1.51E-05	1.51E-03	0.000969612	1	0
ic_wt_cell__RB1_E2F_Ser807_Ser811u_		lin	8.76E-03	8.76E-01	0.750485077	1	0
ic_wt_cell__RB1_E2F_Ser807_Ser811p_		lin	8.41E-02	8.41E+00	2.0840226	1	0
ic_wt_cell__PPP2R2B_ENSA_ARPP19_		lin	7.72E-03	7.72E-01	0.52439017	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355u_		lin	4.03E-01	4.03E+01	40.29704895	1	0
ic_wt_cell__CDC20_APC_		lin	2.30E-02	2.30E+00	16.06540948	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_		lin	6.99E-03	6.99E-01	0.628878629	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355p_		lin	6.31E-03	6.31E-01	0.616928249	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355u__FZR1_APC_1_FBXO5_nTermu_		lin	7.14E-02	7.14E+00	1.351228143	1	0
ic_wt_cell__FZR1_APC_FBXO5_nTermu_		lin	5.71E-05	5.71E-03	0.00436426	1	0
ic_wt_cell__FZR1_APC_FBXO5_nTermp_		lin	1.61E-02	1.61E+00	0.20755552	1	0
ic_wt_cell__APC_FBXO5_1_FZR1_CDC20_2_Ser355u__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		lin	1.09E-02	1.09E+00	0.71184287	1	0
ic_wt_cell__FBXO5_APC_FZR1_Ser182u_		lin	7.18E-05	7.18E-03	0.002840076	1	0
ic_wt_cell__APC_FBXO5_1_FZR1_CDC20_2_Ser355p__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		lin	2.21E-04	2.21E-02	0.013032315	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__FZR1_APC_1_FBXO5_nTermu_		lin	1.36E-03	1.36E-01	0.133833063	1	0
ic_wt_cell__FBXO5_APC_FZR1_Ser182p_		lin	1.88E-06	1.88E-04	1.46116E-05	1	0
ic_wt_cell__FOXM1_DBD_Thr600u_		lin	5.56E-04	5.56E-02	0.010001204	1	0
ic_wt_cell__FOXM1_DBD_Thr600p_		lin	3.81E-05	3.81E-03	0.002787375	1	0
ic_wt_cell__CCNB_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_		lin	1.90E-08	1.90E-06	1.44706E-06	1	0
ic_wt_cell__CCNB_promoter_FOXM1_		lin	9.98E-06	9.98E-04	0.000182636	1	0
ic_wt_cell__CDC20_promoter_FOXM1_		lin	9.99E-06	9.99E-04	0.00035303	1	0
ic_wt_cell__CDC20_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_		lin	7.62E-09	7.62E-07	3.53835E-06	1	0
ic_wt_cell__WEE1_Ser123u_		lin	9.80E-02	9.80E+00	2.767139114	1	0
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15p_		lin	7.51E-04	7.51E-02	0.048340879	1	0
ic_wt_cell__WEE1_Ser123p_		lin	1.96E-03	1.96E-01	0.0616508	1	0
ic_wt_cell__CDC25_pSitesp_		lin	1.84E-03	1.84E-01	0.000184	1	0
ic_wt_cell__CDC25_pSitesu_		lin	9.82E-02	9.82E+00	5.109815367	1	0
ic_wt_cell__MASTL_Thr198u_		lin	9.98E-02	9.98E+00	9.966738756	1	0
ic_wt_cell__MASTL_Thr198p_		lin	2.47E-04	2.47E-02	0.001231973	1	0
ic_wt_cell__ENSA_ARPP19_PPP2R2B_Ser62_Ser67u_		lin	8.27E-02	8.27E+00	0.99331019	1	0
ic_wt_cell__ENSA_ARPP19_PPP2R2B_Ser62_Ser67p_		lin	3.29E-05	3.29E-03	0.000449474	1	0
ic_wt_cell__ENSA_ARPP19_PPP2R2B_1_Ser62_Ser67p__PPP2R2B_ENSA_ARPP19_1_		lin	1.73E-02	1.73E+00	1.25901039	1	0
ic_wt_cell__CCNE_promoter_E2F_		lin	8.45E-06	8.45E-04	8.5415E-05	1	0
ic_wt_cell__CCNA_promoter_E2F_		lin	8.45E-06	8.45E-04	6.20049E-05	1	0
ic_wt_cell__E2F_promoter_E2F_		lin	8.45E-06	8.45E-04	0.000202189	1	0
ic_wt_cell__FBXO5_promoter_E2F_		lin	8.45E-06	8.45E-04	8.63897E-05	1	0
ic_wt_cell__FOXM1_promoter_E2F_		lin	8.45E-06	8.45E-04	3.34252E-05	1	0
ic_wt_cell__CCNE_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_		lin	1.55E-06	1.55E-04	2.94607E-05	1	0
ic_wt_cell__CCNA_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_		lin	1.55E-06	1.55E-04	1.82742E-05	1	0
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__E2F_promoter_E2F_1_		lin	1.55E-06	1.55E-04	0.000103714	1	0
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__FBXO5_promoter_E2F_1_		lin	1.55E-06	1.55E-04	2.43985E-05	1	0
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__FOXM1_promoter_E2F_1_		lin	1.55E-06	1.55E-04	4.25826E-05	1	0
ic_wt_cell__iWEE		lin	0.00E+00	0.00E+00	0	0	0
sCCNA		lin	2.00E-01	2.00E+01	3.131445755	1	1
sCCNB		lin	2.00E-01	2.00E+01	13.0386417	1	1
sCCNE		lin	2.00E-01	2.00E+01	8.730223259	1	1
sE2F		lin	2.00E-01	2.00E+01	4.076604655	1	1
sRB1_pSer807Ser811		lin	2.00E-01	2.00E+01	0.469874011	1	1
noiseParameter1		lin	0.00E+00	0.00E+00	0	0	0
noiseParameter2		lin	1.00E-02	1.00E+00	1	0	0
