parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization
kPhRbD		log	5.54E-04	5.54E-02	0.000719767	1	0
kPhRbE		log	6.93E-04	6.93E-02	0.011422034	1	0
kDpRb		log	1.39E-04	1.39E-02	0.007351051	1	0
kPhRb		log	2.08E-03	2.08E-01	0.033743988	1	0
kSyCe1		log	1.39E-06	1.39E-04	1.69449E-05	1	0
kSyCe2		log	4.16E-01	4.16E+01	5.423731244	1	0
kDeCe		log	1.39E-05	1.39E-03	0.000296432	1	0
kDiE2fRb		log	3.47E-05	3.47E-03	0.000339144	1	0
kAsE2fRb		log	3.47E-02	3.47E+00	0.327641584	1	0
kSyE2f1		log	6.93E-07	6.93E-05	3.13479E-05	1	0
kSyE2f2		log	6.93E-02	6.93E+00	0.108572188	1	0
kDeE2f1		log	6.93E-06	6.93E-04	0.000107543	1	0
kDeE2f2		log	1.39E-04	1.39E-02	0.00246763	1	0
kPhE2f		log	1.39E-04	1.39E-02	0.000383497	1	0
kDpE2f2		log	6.93E-03	6.93E-01	0.048911438	1	0
kSyEmi1		log	3.47E-06	3.47E-04	3.17249E-05	1	0
kSyEmi2		log	3.47E-01	3.47E+01	1.474848098	1	0
kDeEmi1		log	3.47E-05	3.47E-03	0.000773871	1	0
kDeEmi2		log	3.47E-05	3.47E-03	0.000390631	1	0
kDeEmi3		log	3.47E-04	3.47E-02	0.003586778	1	0
kPhEmiA		log	3.47E-06	3.47E-04	3.57062E-05	1	0
kPhEmiB		log	1.73E-05	1.73E-03	0.000199268	1	0
kDpEmi		log	3.47E-07	3.47E-05	3.45374E-06	1	0
kSyCa1		log	6.93E-07	6.93E-05	5.46579E-06	1	0
kSyCa2		log	5.20E-02	5.20E+00	2.13345344	1	0
kDeCa1		log	6.93E-07	6.93E-05	6.58494E-06	1	0
kDeCa2		log	2.77E-04	2.77E-02	0.002070043	1	0
kDeCa3		log	6.93E-05	6.93E-03	0.004972547	1	0
kDpCdh		log	3.47E-04	3.47E-02	0.004385398	1	0
kPhCdhA		log	1.73E-03	1.73E-01	0.015643966	1	0
kPhCdhE		log	6.93E-05	6.93E-03	0.000835826	1	0
kPhCdhB		log	1.73E-02	1.73E+00	0.343244932	1	0
kDiACE		log	3.47E-05	3.47E-03	0.000352198	1	0
kAsACE		log	3.47E-02	3.47E+00	0.284522768	1	0
kDiACdh		log	3.47E-05	3.47E-03	0.000331448	1	0
kAsACdh		log	3.47E-02	3.47E+00	0.373755664	1	0
kPhCeA		log	6.93E-04	6.93E-02	0.003714646	1	0
kPhCeE		log	6.93E-06	6.93E-04	8.90441E-05	1	0
kPhFoxE		log	6.93E-05	6.93E-03	0.000684896	1	0
kPhFoxA		log	6.93E-05	6.93E-03	0.000852595	1	0
kPhFoxB		log	3.47E-04	3.47E-02	0.003182415	1	0
kDpFox		log	3.47E-06	3.47E-04	3.47573E-05	1	0
kSyCb1		log	6.93E-07	6.93E-05	1.57043E-05	1	0
kSyCb2		log	5.20E-02	5.20E+00	0.260576968	1	0
kDeCb1		log	6.93E-07	6.93E-05	1.52249E-05	1	0
kDeCb2		log	8.66E-05	8.66E-03	0.000204033	1	0
kDeCb3		log	8.66E-05	8.66E-03	0.000401118	1	0
kPhEnsa		log	6.93E-05	6.93E-03	0.001048334	1	0
kDpEnsa		log	3.47E-05	3.47E-03	0.000424003	1	0
kPhGw		log	6.93E-04	6.93E-02	0.009750175	1	0
kDpGw1		log	1.73E-04	1.73E-02	0.001619952	1	0
kDpGw2		log	6.93E-03	6.93E-01	0.074311988	1	0
kWee1		log	6.93E-06	6.93E-04	7.83845E-05	1	0
kWee2		log	6.93E-04	6.93E-02	0.002586217	1	0
kPhWeeA		log	6.93E-05	6.93E-03	0.000604139	1	0
kPhWeeB		log	6.93E-04	6.93E-02	0.00406349	1	0
kDpWee		log	6.93E-03	6.93E-01	0.073525132	1	0
kCdc25_1		log	6.93E-05	6.93E-03	0.00268549	1	0
kCdc25_2		log	6.93E-04	6.93E-02	0.003788948	1	0
kDpCdc25		log	6.93E-03	6.93E-01	0.066948005	1	0
kDipEB55		log	4.71E-06	4.71E-04	4.67272E-05	1	0
kAspEB55		log	3.95E-02	3.95E+00	0.467602829	1	0
kSyCdc_1		log	6.93E-07	6.93E-05	1.58781E-05	1	0
kSyCdc_2		log	6.93E-02	6.93E+00	1.589853701	1	0
kDeCdc_1		log	2.77E-06	2.77E-04	3.40023E-05	1	0
kDeCdc_2		log	2.77E-05	2.77E-03	0.000369864	1	0
kDipACdc		log	8.66E-05	8.66E-03	0.000537634	1	0
kAspACdc		log	6.93E-04	6.93E-02	0.015513247	1	0
kPhApcA		log	6.93E-06	6.93E-04	0.000266784	1	0
kDpApc		log	3.47E-03	3.47E-01	0.086547923	1	0
kSyFox1		log	6.93E-07	6.93E-05	6.98236E-06	1	0
kSyFox2		log	5.20E-02	5.20E+00	0.556192401	1	0
kDeFox1		log	6.93E-07	6.93E-05	7.36227E-06	1	0
kDeFox2		log	3.47E-04	3.47E-02	0.005146533	1	0
kAsEPx		log	3.47E-02	3.47E+00	0.190075294	1	0
kDiEPx		log	3.47E-03	3.47E-01	0.070390568	1	0
kAsFPcb		log	3.47E-02	3.47E+00	0.169597381	1	0
kDiFPcb		log	6.93E-03	6.93E-01	0.140020841	1	0
kAsFPcdc		log	3.47E-02	3.47E+00	0.829700074	1	0
kDiFPcdc		log	1.73E-02	1.73E+00	0.07667535	1	0
kPhC25B		log	6.93E-04	6.93E-02	0.005084381	1	0
kPhCAEE		log	5.54E-05	5.54E-03	0.000581266	1	0
kPhCAEA		log	1.39E-03	1.39E-01	0.01331869	1	0
kPhCAEB		log	1.39E-02	1.39E+00	0.088549107	1	0
kDpE2f1		log	0.00E+00	0.00E+00	0	0	0
kPhC25A		log	0.00E+00	0.00E+00	0	0	0
ic_wt_cell__CCND		lin	1.00E-01	1.00E+01	4.971603	1	0
ic_wt_cell__CCNE		lin	2.32E-02	2.32E+00	0.467663	1	0
ic_wt_cell__E2F_DBD_RB1_Ser332u_		lin	1.85E-03	1.85E-01	0.064182	1	0
ic_wt_cell__E2F_DBD_RB1_Ser332p_		lin	3.81E-06	3.81E-04	0.000192	1	0
ic_wt_cell__CCNA		lin	7.03E-04	7.03E-02	0.040454	1	0
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15u_		lin	1.88E-04	1.88E-02	0.011193	1	0
ic_wt_cell__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_		lin	7.15E-03	7.15E-01	0.103534	1	0
ic_wt_cell__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_		lin	1.51E-05	1.51E-03	0.000752	1	0
ic_wt_cell__RB1_E2F_Ser807_Ser811u_		lin	8.76E-03	8.76E-01	0.348077	1	0
ic_wt_cell__RB1_E2F_Ser807_Ser811p_		lin	8.41E-02	8.41E+00	0.990984	1	0
ic_wt_cell__PPP2R2B_ENSA_ARPP19_		lin	7.72E-03	7.72E-01	0.405621	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355u_		lin	4.03E-01	4.03E+01	10.838851	1	0
ic_wt_cell__CDC20_APC_		lin	2.30E-02	2.30E+00	1.138599	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_		lin	6.99E-03	6.99E-01	0.354649	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355p_		lin	6.31E-03	6.31E-01	0.323465	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355u__FZR1_APC_1_FBXO5_nTermu_		lin	7.14E-02	7.14E+00	2.801619	1	0
ic_wt_cell__FZR1_APC_FBXO5_nTermu_		lin	5.71E-05	5.71E-03	0.002893	1	0
