parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue_old	estimate	hierarchicalOptimization	nominalValue
kAsFPcdc		log	3.47E-02	3.47E+00	0.522866874	1	0	0.507463822
kDiFPcdc		log	1.73E-02	1.73E+00	0.017453666	1	0	0.018937236
kPhC25B		log	6.93E-04	6.93E-02	0.056095302	1	0	0.066999291
kPhCAEE		log	5.54E-05	5.54E-03	0.005515612	1	0	0.004806762
kPhCAEA		log	1.39E-03	1.39E-01	0.020383601	1	0	0.021955409
kPhCAEB		log	1.39E-02	1.39E+00	0.14582475	1	0	0.103797481
kDpE2f1		log	0.00E+00	0.00E+00	0	0	0	0
kPhC25A		log	0.00E+00	0.00E+00	0	0	0	0
ic_wt_cell__CCND		lin	1.00E-01	1.00E+01	0.100012756	1	0	0.138296648
ic_wt_cell__CCNE		lin	2.32E-02	2.32E+00	0.098556487	1	0	0.091891975
ic_wt_cell__E2F_DBD_RB1_Ser332u_		lin	1.85E-03	1.85E-01	0.091158096	1	0	0.09181824
ic_wt_cell__E2F_DBD_RB1_Ser332p_		lin	3.81E-06	3.81E-04	0.00037848	1	0	0.00038095
ic_wt_cell__CCNA		lin	7.03E-04	7.03E-02	0.070299999	1	0	0.069273475
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15u_		lin	1.88E-04	1.88E-02	0.016507507	1	0	0.01645255
ic_wt_cell__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_		lin	7.15E-03	7.15E-01	0.019049239	1	0	0.02017891
ic_wt_cell__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_		lin	1.51E-05	1.51E-03	0.00150817	1	0	0.001269893
ic_wt_cell__RB1_E2F_Ser807_Ser811u_		lin	8.76E-03	8.76E-01	0.597529051	1	0	0.6257008
ic_wt_cell__RB1_E2F_Ser807_Ser811p_		lin	8.41E-02	8.41E+00	2.127864796	1	0	2.101175162
ic_wt_cell__PPP2R2B_ENSA_ARPP19_		lin	7.72E-03	7.72E-01	0.517050095	1	0	0.531986747
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355u_		lin	4.03E-01	4.03E+01	13.22924456	1	0	17.667057
ic_wt_cell__CDC20_APC_		lin	2.30E-02	2.30E+00	2.245797564	1	0	2.296298759
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_		lin	6.99E-03	6.99E-01	0.698999991	1	0	0.652431563
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355p_		lin	6.31E-03	6.31E-01	0.423328407	1	0	0.426759466
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355u__FZR1_APC_1_FBXO5_nTermu_		lin	7.14E-02	7.14E+00	1.372017331	1	0	1.343593408
ic_wt_cell__FZR1_APC_FBXO5_nTermu_		lin	5.71E-05	5.71E-03	0.005319557	1	0	0.005120751
ic_wt_cell__FZR1_APC_FBXO5_nTermp_		lin	1.61E-02	1.61E+00	0.203181212	1	0	0.198842832
ic_wt_cell__APC_FBXO5_1_FZR1_CDC20_2_Ser355u__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		lin	1.09E-02	1.09E+00	0.162444471	1	0	0.208768558
ic_wt_cell__FBXO5_APC_FZR1_Ser182u_		lin	7.18E-05	7.18E-03	0.00124717	1	0	0.0000718
ic_wt_cell__APC_FBXO5_1_FZR1_CDC20_2_Ser355p__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		lin	2.21E-04	2.21E-02	0.022055541	1	0	0.019137012
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__FZR1_APC_1_FBXO5_nTermu_		lin	1.36E-03	1.36E-01	0.074515465	1	0	0.079456288
ic_wt_cell__FBXO5_APC_FZR1_Ser182p_		lin	1.88E-06	1.88E-04	0.000187952	1	0	0.000177064
ic_wt_cell__FOXM1_DBD_Thr600u_		lin	5.56E-04	5.56E-02	0.000566275	1	0	0.000800809
ic_wt_cell__FOXM1_DBD_Thr600p_		lin	3.81E-05	3.81E-03	0.002136805	1	0	0.001891846
ic_wt_cell__CCNB_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_		lin	1.90E-08	1.90E-06	2.44E-07	1	0	4.69523E-07
ic_wt_cell__CCNB_promoter_FOXM1_		lin	9.98E-06	9.98E-04	0.00017098	1	0	0.000168739
ic_wt_cell__CDC20_promoter_FOXM1_		lin	9.99E-06	9.99E-04	0.000260846	1	0	0.000277224
ic_wt_cell__CDC20_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_		lin	7.62E-09	7.62E-07	6.36E-07	1	0	2.2662E-07
ic_wt_cell__WEE1_Ser123u_		lin	9.80E-02	9.80E+00	2.797521622	1	0	2.729881911
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15p_		lin	7.51E-04	7.51E-02	0.048992678	1	0	0.049228089
ic_wt_cell__WEE1_Ser123p_		lin	1.96E-03	1.96E-01	0.047720316	1	0	0.05612891
ic_wt_cell__CDC25_pSitesp_		lin	1.84E-03	1.84E-01	0.020964392	1	0	0.019346659
