parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization	objectivePriorType	objectivePriorParameters
kPhCAEB		log	0.013860014	1.3860014	0.057087542	1	0	uniform	
kDpE2f1		log	0	0.01	0	1	0	uniform	
kPhC25A		log	0	0.01	0	1	0	uniform	
kSySkp2		log	0.00001	0.001	0.0001	1	0	uniform	
kDeSkp2_1		log	0.00001	0.001	0.0001	1	0	uniform	
kDeSkp2_2		log	0.0002	0.02	0.002	1	0	uniform	
kAsTP53PCDKN1A		log	0.03	3	0.3	1	0	uniform	
kDiTP53PCDKN1A		log	0.015	1.5	0.15	1	0	uniform	
kSyCDKN1A_1		log	0.000001	0.0001	1.00E-05	1	0	uniform	
kSyCDKN1A_2		log	0.4	40	4	1	0	uniform	
kDeCDKN1A_1		log	0.000002	0.0002	2.00E-05	1	0	uniform	
kDeCDKN1A_2		log	0.000025	0.0025	0.00025	1	0	uniform	
kAsCdkn1aC		log	0.0007	0.07	0.007	1	0	uniform	
kDiCdkn1aC		log	0.00003	0.003	0.0003	1	0	uniform	
kPhCDKN1AByCe		log	0.0005	0.05	0.005	1	0	uniform	
kPhCDKN1AByCa		log	0.00002	0.002	0.0002	1	0	uniform	
kPhCDKN1AByCb		log	0.0002	0.02	0.002	1	0	uniform	
kDpCDKN1A		log	0.0002	0.02	0.002	1	0	uniform	
ic_wt_cell__CCND		lin	1.00E-01	1.00E+01	4.575035203	1	0	uniform	
ic_wt_cell__CCNE_CDKN1A_		lin	5.69E-03	5.69E-01	0.094386049	1	0	uniform	
ic_wt_cell__E2F_DBD_RB1_Ser332u_		lin	9.92E-04	9.92E-02	0.007730176	1	0	uniform	
ic_wt_cell__E2F_DBD_RB1_Ser332p_		lin	3.48E-04	3.48E-02	0.018110245	1	0	uniform	
ic_wt_cell__CCNA_CDKN1A_		lin	1.27E-02	1.27E+00	0.108777077	1	0	uniform	
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_		lin	1.47E-02	1.47E+00	0.175806765	1	0	uniform	
ic_wt_cell__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_		lin	2.09E-03	2.09E-01	0.010201595	1	0	uniform	
ic_wt_cell__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_		lin	7.61E-04	7.61E-02	0.026831368	1	0	uniform	
ic_wt_cell__RB1_E2F_Ser807_Ser811u_		lin	7.65E-03	7.65E-01	0.534438862	1	0	uniform	
ic_wt_cell__RB1_E2F_Ser807_Ser811p_		lin	8.95E-02	8.95E+00	0.511864834	1	0	uniform	
ic_wt_cell__PPP2R2B_ENSA_ARPP19_		lin	5.62E-05	5.62E-03	0.001878299	1	0	uniform	
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355u_		lin	3.70E-01	3.70E+01	33.65538991	1	0	uniform	
ic_wt_cell__CDC20_APC_		lin	2.16E-02	2.16E+00	0.0216	1	0	uniform	
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_		lin	7.19E-02	7.19E+00	4.976837337	1	0	uniform	
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355p_		lin	4.55E-02	4.55E+00	2.507674245	1	0	uniform	
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355u__FZR1_APC_1_FBXO5_nTermu_		lin	2.66E-03	2.66E-01	0.266	1	0	uniform	
ic_wt_cell__FZR1_APC_FBXO5_nTermu_		lin	2.07E-04	2.07E-02	0.0207	1	0	uniform	
ic_wt_cell__FZR1_APC_FBXO5_nTermp_		lin	8.73E-02	8.73E+00	2.041048724	1	0	uniform	
ic_wt_cell__APC_FBXO5_1_FZR1_CDC20_2_Ser355u__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		lin	8.46E-03	8.46E-01	0.376266238	1	0	uniform	
ic_wt_cell__FBXO5_APC_FZR1_Ser182u_		lin	2.16E-02	2.16E+00	0.0216	1	0	uniform	
ic_wt_cell__APC_FBXO5_1_FZR1_CDC20_2_Ser355p__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		lin	1.04E-03	1.04E-01	0.002546673	1	0	uniform	
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__FZR1_APC_1_FBXO5_nTermu_		lin	3.27E-04	3.27E-02	0.029785255	1	0	uniform	
ic_wt_cell__FBXO5_APC_FZR1_Ser182p_		lin	2.90E-04	2.90E-02	0.02008322	1	0	uniform	
ic_wt_cell__FOXM1_DBD_Thr600u_		lin	3.94E-03	3.94E-01	0.00394	1	0	uniform	
ic_wt_cell__FOXM1_DBD_Thr600p_		lin	6.29E-02	6.29E+00	5.652769178	1	0	uniform	
ic_wt_cell__CCNB_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_		lin	0.00E+00	0.00E+00	0.00E+00	0	0	uniform	
ic_wt_cell__CCNB_promoter_FOXM1_		lin	1.00E-05	1.00E-03	1.00E-04	0	0	uniform	
ic_wt_cell__CDC20_promoter_FOXM1_		lin	1.00E-05	1.00E-03	1.00E-04	0	0	uniform	
ic_wt_cell__CDC20_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_		lin	0.00E+00	0.00E+00	0.00E+00	0	0	uniform	
ic_wt_cell__WEE1_Ser123u_		lin	2.71E-03	2.71E-01	0.271	1	0	uniform	
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_		lin	5.17E-04	5.17E-02	0.050794932	1	0	uniform	
ic_wt_cell__WEE1_Ser123p_		lin	9.73E-02	9.73E+00	7.50457194	1	0	uniform	
ic_wt_cell__CDC25_pSitesp_		lin	9.71E-02	9.71E+00	0.243834123	1	0	uniform	
ic_wt_cell__CDC25_pSitesu_		lin	2.91E-03	2.91E-01	0.228564975	1	0	uniform	
ic_wt_cell__MASTL_Thr198u_		lin	6.05E-02	6.05E+00	0.807227116	1	0	uniform	
ic_wt_cell__MASTL_Thr198p_		lin	3.95E-02	3.95E+00	3.047740733	1	0	uniform	
ic_wt_cell__ENSA_ARPP19_PPP2R2B_Ser62_Ser67u_		lin	3.09E-02	3.09E+00	1.134106352	1	0	uniform	
ic_wt_cell__ENSA_ARPP19_PPP2R2B_Ser62_Ser67p_		lin	4.42E-02	4.42E+00	0.103019676	1	0	uniform	
ic_wt_cell__ENSA_ARPP19_PPP2R2B_1_Ser62_Ser67p__PPP2R2B_ENSA_ARPP19_1_		lin	2.49E-02	2.49E+00	0.36516157	1	0	uniform	
ic_wt_cell__CCNE_promoter_E2F_		lin	0.00001	0.001	1.00E-04	0	0	uniform	
ic_wt_cell__CCNA_promoter_E2F_		lin	0.00001	0.001	1.00E-04	0	0	uniform	
ic_wt_cell__E2F_promoter_E2F_		lin	0.00001	0.001	1.00E-04	0	0	uniform	
ic_wt_cell__FBXO5_promoter_E2F_		lin	0.00001	0.001	1.00E-04	0	0	uniform	
ic_wt_cell__FOXM1_promoter_E2F_		lin	0.00001	0.001	1.00E-04	0	0	uniform	
ic_wt_cell__CCNE_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_		lin	0	0	0	0	0	uniform	
ic_wt_cell__CCNA_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_		lin	0	0	0	0	0	uniform	
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__E2F_promoter_E2F_1_		lin	0	0	0	0	0	uniform	
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__FBXO5_promoter_E2F_1_		lin	0	0	0	0	0	uniform	
ic_wt_cell__E2F_DBD_1_RB1_Ser332u__FOXM1_promoter_E2F_1_		lin	0	0	0	0	0	uniform	
ic_wt_cell__CCNE_promoter_E2F_1__E2F_DBD_1_RB1_Ser332p_		lin	0	0	0	0	0	uniform	
ic_wt_cell__CCNA_promoter_E2F_1__E2F_DBD_1_RB1_Ser332p_		lin	0	0	0	0	0	uniform	
ic_wt_cell__E2F_DBD_1_RB1_Ser332p__E2F_promoter_E2F_1_		lin	0	0	0	0	0	uniform	
ic_wt_cell__E2F_DBD_1_RB1_Ser332p__FBXO5_promoter_E2F_1_		lin	0	0	0	0	0	uniform	
ic_wt_cell__E2F_DBD_1_RB1_Ser332p__FOXM1_promoter_E2F_1_		lin	0	0	0	0	0	uniform	
ic_wt_cell__SKP2		lin	0.1	10	1	1	0	uniform	
ic_wt_cell__TP53_DBD_Ser15p_		lin	0	0	0	0	0	uniform	
ic_wt_cell__CDKN1A_promoter_TP53_		lin	0.00001	0.001	0.0001	0	0	uniform	
ic_wt_cell__CDKN1A_promoter_TP53_1__TP53_DBD_1_Ser15p_		lin	0	0	0	0	0	uniform	
ic_wt_cell__CDKN1A_CCNE_A_B_Ser130u_		lin	0.002395157	0.239515721	0.023951572	1	0	uniform	
ic_wt_cell__CCNA_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_		lin	4.78E-05	0.004782476	0.000478248	1	0	uniform	
ic_wt_cell__CCNE_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_		lin	0.002456584	0.245658365	0.024565836	1	0	uniform	
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_		lin	1.31E-05	0.001312958	0.000131296	1	0	uniform	
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_		lin	4.72E-05	0.004718004	0.0004718	1	0	uniform	
ic_wt_cell__CDKN1A_CCNE_A_B_Ser130p_		lin	0.003831384	0.383138363	0.038313836	1	0	uniform	
oCCNA		lin	0	0.305627054	0.222312989	1	0	laplace	0;1
oCCNB		lin	0	0.534931031	0.534923698	1	0	laplace	0;1
oCCNE		lin	0	0.625025635	0.621594835	1	0	laplace	0;1
oE2F		lin	0	0.710586775	0.709451269	1	0	laplace	0;1
oRB1_pSer807Ser811		lin	0	0.092359914	0.057363109	1	0	laplace	0;1
oSKP2		lin	0	0.325469225	0.271224354	1	0	laplace	0;1
oCDKN1A		lin	0	0.569668525	0.474723771	1	0	laplace	0;1
sCCNA		lin	0.1	10	5.887017453	1	1	laplace	0;10
sCCNB		lin	0.1	10	2.873916621	1	1	laplace	0;10
sCCNE		lin	0.1	10	6.924959631	1	1	uniform	
sE2F		lin	0.1	10	3.573979854	1	1	uniform	
sRB1_pSer807Ser811		lin	0.1	10	2.174059617	1	1	uniform	
sSKP2		lin	0.1	10	1	1	1	uniform	
sCDKN1A		lin	0.1	10	1	1	1	uniform	
noiseParameter1		lin	0	0	0	0	0	uniform	
noiseParameter2		lin	0.1	10	1	0	0	uniform	
