parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization
kPhRbD		log	5.54E-04	5.54E-02	0.00280434	1	0
kPhRbE		log	6.93E-04	6.93E-02	0.001559509	1	0
kDpRb		log	1.39E-04	1.39E-02	0.003705111	1	0
kPhRb		log	2.08E-03	2.08E-01	0.107698352	1	0
kSyCe1		log	1.39E-06	1.39E-04	0.000121463	1	0
kSyCe2		log	4.16E-01	4.16E+01	0.885815136	1	0
kDeCe		log	1.39E-05	1.39E-03	0.000530227	1	0
kDiE2fRb		log	3.47E-05	3.47E-03	0.001013998	1	0
kAsE2fRb		log	3.47E-02	3.47E+00	0.26179409	1	0
kSyE2f1		log	6.93E-07	6.93E-05	4.41E-06	1	0
kSyE2f2		log	6.93E-02	6.93E+00	0.69944578	1	0
kDeE2f1		log	6.93E-06	6.93E-04	2.53E-05	1	0
kDeE2f2		log	1.39E-04	1.39E-02	0.005919028	1	0
kPhE2f		log	1.39E-04	1.39E-02	0.000686252	1	0
kDpE2f2		log	6.93E-03	6.93E-01	0.640566716	1	0
kSyEmi1		log	3.47E-06	3.47E-04	2.87E-05	1	0
kSyEmi2		log	3.47E-01	3.47E+01	0.621108807	1	0
kDeEmi1		log	3.47E-05	3.47E-03	5.89E-05	1	0
kDeEmi2		log	3.47E-05	3.47E-03	4.92E-05	1	0
kDeEmi3		log	3.47E-04	3.47E-02	0.000357312	1	0
kPhEmiA		log	3.47E-06	3.47E-04	5.24E-05	1	0
kPhEmiB		log	1.73E-05	1.73E-03	1.90E-05	1	0
kDpEmi		log	3.47E-07	3.47E-05	3.35E-05	1	0
kSyCa1		log	6.93E-07	6.93E-05	5.15E-06	1	0
kSyCa2		log	5.20E-02	5.20E+00	0.473251651	1	0
kDeCa1		log	6.93E-07	6.93E-05	1.31E-05	1	0
kDeCa2		log	2.77E-04	2.77E-02	0.002800599	1	0
kDeCa3		log	6.93E-05	6.93E-03	0.000895574	1	0
kDpCdh		log	3.47E-04	3.47E-02	0.000732206	1	0
kPhCdhA		log	1.73E-03	1.73E-01	0.00586521	1	0
kPhCdhE		log	6.93E-05	6.93E-03	0.001526332	1	0
kPhCdhB		log	1.73E-02	1.73E+00	0.01802584	1	0
kDiACE		log	3.47E-05	3.47E-03	3.54E-05	1	0
kAsACE		log	3.47E-02	3.47E+00	3.469980589	1	0
kDiACdh		log	3.47E-05	3.47E-03	3.52E-05	1	0
kAsACdh		log	3.47E-02	3.47E+00	0.03603812	1	0
kPhCeA		log	6.93E-04	6.93E-02	0.000693016	1	0
kPhCeE		log	6.93E-06	6.93E-04	0.000692108	1	0
kPhFoxE		log	6.93E-05	6.93E-03	6.98E-05	1	0
kPhFoxA		log	6.93E-05	6.93E-03	7.01E-05	1	0
kPhFoxB		log	3.47E-04	3.47E-02	0.012983798	1	0
kDpFox		log	3.47E-06	3.47E-04	3.47E-06	1	0
kSyCb1		log	6.93E-07	6.93E-05	4.44E-06	1	0
kSyCb2		log	5.20E-02	5.20E+00	3.910283978	1	0
kDeCb1		log	6.93E-07	6.93E-05	3.50E-06	1	0
kDeCb2		log	8.66E-05	8.66E-03	0.000116838	1	0
kDeCb3		log	8.66E-05	8.66E-03	0.001375441	1	0
kPhEnsa		log	6.93E-05	6.93E-03	0.000827819	1	0
kDpEnsa		log	3.47E-05	3.47E-03	0.000211047	1	0
kPhGw		log	6.93E-04	6.93E-02	0.023680343	1	0
kDpGw1		log	1.73E-04	1.73E-02	0.000176105	1	0
kDpGw2		log	6.93E-03	6.93E-01	0.025656868	1	0
kWee1		log	6.93E-06	6.93E-04	0.000637106	1	0
kWee2		log	6.93E-04	6.93E-02	0.004729499	1	0
kPhWeeA		log	6.93E-05	6.93E-03	7.07E-05	1	0
kPhWeeB		log	6.93E-04	6.93E-02	0.047808874	1	0
kDpWee		log	6.93E-03	6.93E-01	0.663591188	1	0
kCdc25_1		log	6.93E-05	6.93E-03	8.26E-05	1	0
kCdc25_2		log	6.93E-04	6.93E-02	0.007132739	1	0
kDpCdc25		log	6.93E-03	6.93E-01	0.692460557	1	0
kDipEB55		log	4.71E-06	4.71E-04	0.000175039	1	0
kAspEB55		log	3.95E-02	3.95E+00	0.110948738	1	0
kSyCdc_1		log	6.93E-07	6.93E-05	6.93E-07	1	0
kSyCdc_2		log	6.93E-02	6.93E+00	6.902661073	1	0
