parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization	objectivePriorType	objectivePriorParameters
kPhRbD		log	9.20987607700007e-15	9.210150664448363e-13	2.896329998031554e-14	1	0	uniform	
kPhRbE		log	1.1500337639683448e-14	1.1499530505447953e-12	8.90539784344864e-14	1	0	uniform	
kDpRb		log	0.0001389995308526596	0.01389995050004046	0.0024760569411575724	1	0	uniform	
kPhRb		log	3.4500588950158183e-14	3.450161756646151e-12	5.2950824980286607e-14	1	0	uniform	
kSyCe1		log	166991.80193761393	16699678.07074037	7179099.641692921	1	0	uniform	
kSyCe2		log	0.8319998653499033	83.20022066107263	1.4484097264244578	1	0	uniform	
kDeCe		log	1.3900301881082116e-05	0.0013900021292585867	0.00028901401224697913	1	0	uniform	
kDiE2fRb		log	3.469898923881896e-05	0.0034700023770319064	0.0015640217931962913	1	0	uniform	
kAsE2fRb		log	2.789916820146743e-13	2.79e-11	5.750000325245508e-13	1	0	uniform	
kSyE2f1		log	83499.84044510033	8350232.994744856	94182.67875585811	1	0	uniform	
kSyE2f2		log	0.218328894	1390.0013536872734	13.821427190520481	1	0	uniform	
kDeE2f1		log	1.83e-05	0.0693034909220122	0.000692999967789673	1	0	uniform	
kDeE2f2		log	2.829915627604045e-17	2.83e-15	2.3000001300983184e-15	1	0	uniform	
kPhE2f		log	1.9e-13	2.300061870830776e-11	2.2999998699018575e-13	1	0	uniform	
kDpE2f2		log	1.8601305505192042e-15	1.86e-13	1.1500000650491023e-13	1	0	uniform	
kSyEmi1		log	416982.69453344605	41699512.66457912	737313.0443485834	1	0	uniform	
kSyEmi2		log	0.6930001938960452	69.2996600014611	3.823074467784371	1	0	uniform	
kDeEmi1		log	3.529894758106809e-07	3.53e-05	3.470000000000211e-05	1	0	uniform	
kDeEmi2		log	6.92979339197739e-07	6.93e-05	3.470000000000211e-05	1	0	uniform	
kDeEmi3		log	0.0034700023770319064	0.34700017316528464	0.10710325070303502	1	0	uniform	
kPhEmiA		log	8.250579054722279e-19	8.25e-17	5.750000267257795e-17	1	0	uniform	
kPhEmiB		log	8.83e-15	2.880088768096385e-12	2.879999866138997e-14	1	0	uniform	
kDpEmi		log	8.020562911378507e-09	8.02e-07	3.4700000000001786e-07	1	0	uniform	
kSyCa1		log	83499.84044510033	8350232.994744856	720413.7741617864	1	0	uniform	
kSyCa2		log	0.10400045550443701	10.40004361615926	0.1936893588698896	1	0	uniform	
kDeCa1		log	1.050042196135338e-08	1.05e-06	6.93000000000006e-07	1	0	uniform	
kDeCa2		log	4.60009242144035e-15	4.600229570695075e-13	7.45101934156896e-14	1	0	uniform	
kDeCa3		log	2.4899257642169864e-16	2.49e-14	1.1500000000000266e-15	1	0	uniform	
kDpCdh		log	0.0003469985349751356	0.034699847043754645	0.014034503120141859	1	0	uniform	
kPhCdhA		log	4.249873292338229e-16	4.25e-14	2.8801521799018005e-14	1	0	uniform	
kPhCdhE		log	7.079788919942274e-17	7.08e-15	1.1519461144182589e-15	1	0	uniform	
kPhCdhB		log	6.699800249097914e-15	6.7e-13	2.8800001338613666e-13	1	0	uniform	
kDiACE		log	0.0003469985349751356	0.034699847043754645	0.0106766663229457	1	0	uniform	
kAsACE		log	5.75e-11	5.749315153359977e-08	5.702603984584558e-10	1	0	uniform	
kDiACdh		log	1.383741744492157e-05	0.001383783	3.470000161284077e-05	1	0	uniform	
kAsACdh		log	5.750036536267752e-13	5.7502079704810776e-11	4.987856947111276e-11	1	0	uniform	
kPhCeA		log	1.1499657143974035e-16	1.15e-14	1.1500000000000266e-15	1	0	uniform	
kPhCeE		log	2.0399391803223575e-17	2.04e-15	1.150000053451512e-16	1	0	uniform	
kPhFoxE		log	1.1499657143974073e-17	1.15e-15	1.1500000000000865e-16	1	0	uniform	
kPhFoxA		log	1.1499994773591278e-16	1.1500337639683448e-14	2.9814686622486655e-15	1	0	uniform	
kPhFoxB		log	5.749865107165492e-15	5.750036536267752e-13	4.712646747407637e-14	1	0	uniform	
