parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization	objectivePriorType	objectivePriorParameters	
kPhCAEA		log	0.001386001	0.13860014	0.013860014	1	0	uniform		
kPhCAEB		log	0.013860014	1.3860014	0.13860014	1	0	uniform		
kDpE2f1		log	0	0	0	1	0	uniform		
kPhC25A		log	0	0	0	1	0	uniform		
ic_wt_cell__CCND		lin	0.1	10	1	1	0	uniform		
ic_wt_cell__CCNE		lin	0.023224914	2.3224914	0.23224914	1	0	uniform		
ic_wt_cell__E2F_DBD_RB1_Ser332u_		lin	0.001847902	0.18479024	0.018479024	1	0	uniform		
ic_wt_cell__E2F_DBD_RB1_Ser332p_		lin	3.80819E-06	0.000380819	3.81E-05	1	0	uniform		
ic_wt_cell__CCNA		lin	0.000702849	0.070284949	0.007028495	1	0	uniform		
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15u_		lin	0.000188236	0.018823629	0.001882363	1	0	uniform		
ic_wt_cell__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_		lin	0.007146133	0.71461332	0.071461332	1	0	uniform		
ic_wt_cell__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_		lin	1.50539E-05	0.001505386	0.000150539	1	0	uniform		
ic_wt_cell__RB1_E2F_Ser807_Ser811u_		lin	0.008764269	0.87642687	0.087642687	1	0	uniform		
ic_wt_cell__RB1_E2F_Ser807_Ser811p_		lin	0.084074544	8.4074544	0.84074544	1	0	uniform		
ic_wt_cell__PPP2R2B_ENSA_ARPP19_		lin	0.007719163	0.77191625	0.077191625	1	0	uniform		
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355u_		lin	0.40287133	40.287133	4.0287133	1	0	uniform		
ic_wt_cell__CDC20_APC_		lin	0.022995279	2.2995279	0.22995279	1	0	uniform		
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_		lin	0.006989008	0.69890078	0.069890078	1	0	uniform		
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355p_		lin	0.006309107	0.63091065	0.063091065	1	0	uniform		
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355u__FZR1_APC_1_FBXO5_nTermu_		lin	0.071354419	7.1354419	0.71354419	1	0	uniform		
ic_wt_cell__FZR1_APC_FBXO5_nTermu_		lin	5.71341E-05	0.00571341	0.000571341	1	0	uniform		
ic_wt_cell__FZR1_APC_FBXO5_nTermp_		lin	0.016112308	1.6112308	0.16112308	1	0	uniform		
ic_wt_cell__APC_FBXO5_1_FZR1_CDC20_2_Ser355u__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		lin	0.010894131	1.0894131	0.10894131	1	0	uniform		
ic_wt_cell__FBXO5_APC_FZR1_Ser182u_		lin	7.17816E-05	0.007178161	0.000717816	1	0	uniform		
ic_wt_cell__APC_FBXO5_1_FZR1_CDC20_2_Ser355p__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		lin	0.000221255	0.022125471	0.002212547	1	0	uniform		
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__FZR1_APC_1_FBXO5_nTermu_		lin	0.001360753	0.13607533	0.013607533	1	0	uniform		
ic_wt_cell__FBXO5_APC_FZR1_Ser182p_		lin	1.88049E-06	0.000188049	1.88E-05	1	0	uniform		
