time(s),fx
65.5577272670000041898675,3047.40476116389709204668
65.6754387670000028265349,3047.40476116389709204668
66.1884963389999967375843,3047.40476116389709204668
66.2718272769999998672574,3047.40476116389709204668
66.2884523500000000240107,3047.40476116389709204668
66.2957987099999996871702,3047.40476116389709204668
66.4085993260000009286159,3047.40476116389709204668
66.7320629750000051672032,3047.40476116389709204668
66.8705235249999958568878,3047.40476116389709204668
67.7726226260000004231188,3047.40476116389709204668
69.1714882149999965577081,3047.40476116389709204668
2383.55000972500010902877,2604.04770621725265300483
2478.23613718200022049132,2604.04770621725265300483
2765.83305647299994234345,2261.71281721503464723355
2937.54517749700016793213,2261.71281721503464723355
2946.28801007499987463234,2261.71281721503464723355
2956.37826289299982818193,2261.71281721503464723355
2971.66785309899978528847,2261.71281721503464723355
3080.35935688300014589913,2261.71281721503464723355
3080.38300561300002300413,2261.71281721503464723355
3148.75985454300007404527,1573.2942690930883600231
3534.19767974700016566203,805.229423178485376411118
3690.56337679599982948275,805.229423178485376411118
3690.56695138099985342706,805.229423178485376411118
3880.79463730999987092218,805.229423178485376411118
3880.79815201900009924429,805.229423178485376411118
3900.33090771600018342724,805.229423178485376411118
3918.23497764700005063787,805.229423178485376411118
4299.30125326800043694675,305.831816023072349253198
4411.65282759500041720457,305.831816023072349253198
4582.70220207199963624589,305.831816023072349253198
4683.72847622799963573925,-93.0970974408851787984531
4823.94282367800042266026,-93.0970974408851787984531
4866.02830575000007229391,-93.0970974408851787984531
4882.16890587200032314286,-93.0970974408851787984531
5067.84555647399974986911,-1065.55504727801712760993
5450.56105111499982740497,-1344.20248814899832723313
5471.13080855299995164387,-1344.20248814899832723313
5471.13446240099983697291,-1344.20248814899832723313
5746.15672528899995086249,-1344.20248814899832723313
5746.16189062099965667585,-1344.20248814899832723313
5763.95107515499967121286,-1344.20248814899832723313
5763.95464204600011726143,-1344.20248814899832723313
5782.36016996800026390702,-1344.20248814899832723313
5811.25476918599997588899,-1344.20248814899832723313
5831.60816777699983504135,-2003.89910644273732032161
