parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization	objectivePriorType	objectivePriorParameters
kPhRbD		log	1.3000000000000534e-16	9.20999999999979e-13	2.099391428854177e-14	1	0	uniform	
kPhRbE		log	1.1499999999999747e-14	4.220000000000112e-12	1.1185994532933794e-13	1	0	uniform	
kDpRb		log	0.0001390000000000003	0.013899951000000013	0.0024133452379705572	1	0	uniform	
kPhRb		log	3.449999999999904e-14	3.449999999999936e-12	3.7684443144704263e-14	1	0	uniform	
kSyCe1		log	2773.2705419999947	16699678.070000594	6843317.4003452575	1	0	uniform	
kSyCe2		log	0.008399488000000026	83.20022066000024	1.812454894659056	1	0	uniform	
kDeCe		log	1.3900000000000382e-05	0.0013900020000000013	0.00040062505263219287	1	0	uniform	
kDiE2fRb		log	3.4699999999998655e-05	0.0034700019999999968	0.001597323577177365	1	0	uniform	
kAsE2fRb		log	2.7900000000000573e-13	2.7900000000000832e-11	5.139973973000081e-13	1	0	uniform	
kSyE2f1		log	83499.8404500019	835048195.2000337	417073.9109449938	1	0	uniform	
kSyE2f2		log	0.21832889399999936	1390.0013539999961	13.85843887611405	1	0	uniform	
kDeE2f1		log	1.8299999999999964e-05	0.06930349100000008	0.0006956269556246602	1	0	uniform	
kDeE2f2		log	1.893639575971586e-19	2.3e-15	2.330000387649257e-19	1	0	uniform	
kPhE2f		log	1.9000000000000005e-13	2.299999999999994e-11	1.5091687396003059e-12	1	0	uniform	
kDpE2f2		log	7.340000000000059e-16	1.859999999999984e-11	5.2712631289353154e-14	1	0	uniform	
kSyEmi1		log	416982.6945000045	41699512.66000051	1424086.887542813	1	0	uniform	
kSyEmi2		log	0.693000194	69.29966000000027	3.9037700829768736	1	0	uniform	
kDeEmi1		log	3.530000000000052e-07	3.5300000000000783e-05	2.697405187814628e-05	1	0	uniform	
kDeEmi2		log	6.93000000000006e-07	6.929999999999977e-05	3.44302227396299e-05	1	0	uniform	
kDeEmi3		log	0.0034700019999999968	0.34700017300000147	0.0036773347135033744	1	0	uniform	
kPhEmiA		log	5.749999999999946e-19	5.75e-17	8.250829820839183e-19	1	0	uniform	
kPhEmiB		log	8.83000000000013e-15	2.879999999999979e-12	3.5084254288688746e-14	1	0	uniform	
kDpEmi		log	9.79908450704251e-10	3.47e-07	8.05385384229828e-09	1	0	uniform	
kSyCa1		log	83499.8404500019	38511554.16999967	609883.5284733605	1	0	uniform	
kSyCa2		log	0.10400045600000024	62.13729164000004	0.18407739695481692	1	0	uniform	
kDeCa1		log	1.0500000000000258e-10	1.0500000000000435e-06	1.0781306109977536e-10	1	0	uniform	
kDeCa2		log	7.45e-14	7.450000000000069e-12	4.599999625252013e-13	1	0	uniform	
kDeCa3		log	2.2900000000000684e-17	1.0999999999999655e-13	1.8637637404992868e-16	1	0	uniform	
kDpCdh		log	0.0003469989999999992	0.034699846999999874	0.009739235363480444	1	0	uniform	
kPhCdhA		log	2.88e-14	4.250000000000161e-12	4.249999720090394e-14	1	0	uniform	
kPhCdhE		log	1.150000000000024e-17	8.229999999999678e-14	1.2174183454220994e-17	1	0	uniform	
kPhCdhB		log	2.8800000000002324e-17	2.88e-13	6.706561969052281e-17	1	0	uniform	
kDiACE		log	5.960000000000092e-06	0.034699846999999874	0.009250570381312443	1	0	uniform	
kAsACE		log	1.1099999999999449e-13	5.7500000000000297e-08	5.716758529145757e-10	1	0	uniform	
kDiACdh		log	3.4604986742921446e-07	3.47e-05	1.380337969537783e-05	1	0	uniform	
kAsACdh		log	2.539999999999982e-14	2.330000000000111e-10	5.731183356162856e-11	1	0	uniform	
kPhCeA		log	2.78000000000015e-18	1.15e-15	2.78000022088221e-17	1	0	uniform	
kPhCeE		log	1.1218137254902043e-20	1.15e-16	1.9900002423549043e-17	1	0	uniform	
kPhFoxE		log	1.150000000000024e-17	1.1500000000000413e-13	1.0182433958144749e-16	1	0	uniform	
kPhFoxA		log	1.149999999999972e-16	9.949999999999914e-13	1.267788351852019e-15	1	0	uniform	
kPhFoxB		log	5.750000000000149e-15	5.750000000000203e-13	4.871683290948378e-14	1	0	uniform	
kDpFox		log	1.8699999999999463e-08	1.87e-06	1.0000000814669775e-06	1	0	uniform	
kSyCb1		log	83499.8404500019	8350232.995000384	3319354.456650526	1	0	uniform	
kSyCb2		log	0.10400045600000024	10.400043619999995	9.699252945576593	1	0	uniform	
kDeCb1		log	6.929999999999671e-08	6.9299999999997354e-06	5.8115016902689145e-06	1	0	uniform	
kDeCb2		log	1.4400000000000264e-16	1.440000000000045e-14	8.006747950064736e-15	1	0	uniform	
kDeCb3		log	1.4399999999999615e-15	1.43999999999998e-13	3.4726334556305365e-15	1	0	uniform	
