parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization
kPhRbD		log	5.54E-04	5.54E-02	0.000800591	1	0
kPhRbE		log	6.93E-04	6.93E-02	0.000834083	1	0
kDpRb		log	1.39E-04	1.39E-02	0.000521485	1	0
kPhRb		log	2.08E-03	2.08E-01	0.00742156	1	0
kSyCe1		log	1.39E-06	1.39E-04	7.11E-06	1	0
kSyCe2		log	4.16E-01	4.16E+01	0.911438913	1	0
kDeCe		log	1.39E-05	1.39E-03	1.80E-05	1	0
kDiE2fRb		log	3.47E-05	3.47E-03	4.34E-05	1	0
kAsE2fRb		log	3.47E-02	3.47E+00	0.211713011	1	0
kSyE2f1		log	6.93E-07	6.93E-05	2.87E-05	1	0
kSyE2f2		log	6.93E-02	6.93E+00	0.404111535	1	0
kDeE2f1		log	6.93E-06	6.93E-04	1.54E-05	1	0
kDeE2f2		log	1.39E-04	1.39E-02	0.003830255	1	0
kPhE2f		log	1.39E-04	1.39E-02	0.003234482	1	0
kDpE2f2		log	6.93E-03	6.93E-01	0.692769259	1	0
kSyEmi1		log	3.47E-06	3.47E-04	3.90E-07	1	0
kSyEmi2		log	3.47E-01	3.47E+01	34.6441205	1	0
kDeEmi1		log	3.47E-05	3.47E-03	0.000160694	1	0
kDeEmi2		log	3.47E-05	3.47E-03	0.006222598	1	0
kDeEmi3		log	3.47E-04	3.47E-02	0.018219316	1	0
kPhEmiA		log	3.47E-06	3.47E-04	0.000161938	1	0
kPhEmiB		log	1.73E-05	1.73E-03	0.0002527	1	0
kDpEmi		log	3.47E-07	3.47E-05	4.14E-07	1	0
kSyCa1		log	6.93E-07	6.93E-05	4.73E-06	1	0
kSyCa2		log	5.20E-02	5.20E+00	0.005260969	1	0
kDeCa1		log	6.93E-07	6.93E-05	1.19E-05	1	0
kDeCa2		log	2.77E-04	2.77E-02	0.005425593	1	0
kDeCa3		log	6.93E-05	6.93E-03	6.93E-06	1	0
kDpCdh		log	3.47E-04	3.47E-02	0.000325454	1	0
kPhCdhA		log	1.73E-03	1.73E-01	0.000260535	1	0
kPhCdhE		log	6.93E-05	6.93E-03	0.006411338	1	0
kPhCdhB		log	1.73E-02	1.73E+00	0.122023064	1	0
kDiACE		log	3.47E-05	3.47E-03	6.89E-06	1	0
kAsACE		log	3.47E-02	3.47E+00	30.45084294	1	0
kDiACdh		log	3.47E-05	3.47E-03	5.32E-05	1	0
kAsACdh		log	3.47E-02	3.47E+00	1.553433319	1	0
kPhCeA		log	6.93E-04	6.93E-02	6.94E-05	1	0
kPhCeE		log	6.93E-06	6.93E-04	3.03E-05	1	0
kPhFoxE		log	6.93E-05	6.93E-03	8.62E-06	1	0
kPhFoxA		log	6.93E-05	6.93E-03	0.00113379	1	0
kPhFoxB		log	3.47E-04	3.47E-02	0.001823489	1	0
kDpFox		log	3.47E-06	3.47E-04	3.07E-05	1	0
kSyCb1		log	6.93E-07	6.93E-05	1.57E-06	1	0
kSyCb2		log	5.20E-02	5.20E+00	0.377949836	1	0
kDeCb1		log	6.93E-07	6.93E-05	8.03E-06	1	0
kDeCb2		log	8.66E-05	8.66E-03	0.000138864	1	0
kDeCb3		log	8.66E-05	8.66E-03	0.001857263	1	0
kPhEnsa		log	6.93E-05	6.93E-03	0.005478335	1	0
kDpEnsa		log	3.47E-05	3.47E-03	0.001375278	1	0
kPhGw		log	6.93E-04	6.93E-02	0.039937527	1	0
kDpGw1		log	1.73E-04	1.73E-02	0.008550205	1	0
kDpGw2		log	6.93E-03	6.93E-01	0.245800074	1	0
kWee1		log	6.93E-06	6.93E-04	0.000660339	1	0
kWee2		log	6.93E-04	6.93E-02	0.012093483	1	0
kPhWeeA		log	6.93E-05	6.93E-03	0.000156394	1	0
kPhWeeB		log	6.93E-04	6.93E-02	0.000649019	1	0
kDpWee		log	6.93E-03	6.93E-01	0.575596888	1	0
kCdc25_1		log	6.93E-05	6.93E-03	0.002012878	1	0
kCdc25_2		log	6.93E-04	6.93E-02	0.000786924	1	0
kDpCdc25		log	6.93E-03	6.93E-01	0.011877694	1	0
kDipEB55		log	4.71E-06	4.71E-04	4.75E-07	1	0
kAspEB55		log	3.95E-02	3.95E+00	2.335572696	1	0
kSyCdc_1		log	6.93E-07	6.93E-05	1.35E-05	1	0
kSyCdc_2		log	6.93E-02	6.93E+00	5.495908964	1	0
kDeCdc_1		log	2.77E-06	2.77E-04	1.37E-05	1	0
kDeCdc_2		log	2.77E-05	2.77E-03	0.002769818	1	0
kDipACdc		log	8.66E-05	8.66E-03	0.000756713	1	0
kAspACdc		log	6.93E-04	6.93E-02	0.003571694	1	0
kPhApcA		log	6.93E-06	6.93E-04	4.61E-05	1	0
kDpApc		log	3.47E-03	3.47E-01	0.03298775	1	0
kSyFox1		log	6.93E-07	6.93E-05	1.50E-06	1	0
kSyFox2		log	5.20E-02	5.20E+00	0.056523395	1	0
kDeFox1		log	6.93E-07	6.93E-05	2.07E-05	1	0
kDeFox2		log	3.47E-04	3.47E-02	0.347	1	0
kAsEPx		log	3.47E-02	3.47E+00	0.06697645	1	0
kDiEPx		log	3.47E-03	3.47E-01	0.023892065	1	0
kAsFPcb		log	3.47E-02	3.47E+00	0.048369036	1	0
kDiFPcb		log	6.93E-03	6.93E-01	0.080949568	1	0
kAsFPcdc		log	3.47E-02	3.47E+00	0.03918235	1	0
kDiFPcdc		log	1.73E-02	1.73E+00	1.141545123	1	0
kPhC25B		log	6.93E-04	6.93E-02	0.038772195	1	0
kPhCAEE		log	5.54E-05	5.54E-03	2.01E-05	1	0
kPhCAEA		log	1.39E-03	1.39E-01	0.001081581	1	0
kPhCAEB		log	1.39E-02	1.39E+00	0.014390578	1	0
kDpE2f1		log	0.00E+00	0.00E+00	0	0	0
kPhC25A		log	0.00E+00	0.00E+00	0	0	0
ic_wt_cell__CCND		lin	1.00E-01	1.00E+01	0.403253963	1	0
ic_wt_cell__CCNE		lin	2.32E-02	2.32E+00	0.458340459	1	0
ic_wt_cell__E2F_DBD_RB1_Ser332u_		lin	1.85E-03	1.85E-01	0.144647555	1	0
ic_wt_cell__E2F_DBD_RB1_Ser332p_		lin	3.81E-06	3.81E-04	5.70E-05	1	0
ic_wt_cell__CCNA		lin	7.03E-04	7.03E-02	0.00359938	1	0
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15u_		lin	1.88E-04	1.88E-02	0.007893297	1	0
ic_wt_cell__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_		lin	7.15E-03	7.15E-01	0.510773776	1	0
ic_wt_cell__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_		lin	1.51E-05	1.51E-03	0.000131177	1	0
ic_wt_cell__RB1_E2F_Ser807_Ser811u_		lin	8.76E-03	8.76E-01	0.777989865	1	0
ic_wt_cell__RB1_E2F_Ser807_Ser811p_		lin	8.41E-02	8.41E+00	1.164669537	1	0
ic_wt_cell__PPP2R2B_ENSA_ARPP19_		lin	7.72E-03	7.72E-01	0.131941111	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355u_		lin	4.03E-01	4.03E+01	0.423103306	1	0
ic_wt_cell__CDC20_APC_		lin	2.30E-02	2.30E+00	0.401936292	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_		lin	6.99E-03	6.99E-01	0.139846142	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_Ser355p_		lin	6.31E-03	6.31E-01	0.279674984	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355u__FZR1_APC_1_FBXO5_nTermu_		lin	7.14E-02	7.14E+00	0.895553341	1	0
ic_wt_cell__FZR1_APC_FBXO5_nTermu_		lin	5.71E-05	5.71E-03	0.028965801	1	0
ic_wt_cell__FZR1_APC_FBXO5_nTermp_		lin	1.61E-02	1.61E+00	1.698846285	1	0
ic_wt_cell__APC_FBXO5_1_FZR1_CDC20_2_Ser355u__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		lin	1.09E-02	1.09E+00	0.50433782	1	0
ic_wt_cell__FBXO5_APC_FZR1_Ser182u_		lin	7.18E-05	7.18E-03	0.067884232	1	0
ic_wt_cell__APC_FBXO5_1_FZR1_CDC20_2_Ser355p__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		lin	2.21E-04	2.21E-02	0.02190687	1	0
ic_wt_cell__APC_FBXO5_FZR1_CDC20_1_Ser355p__FZR1_APC_1_FBXO5_nTermu_		lin	1.36E-03	1.36E-01	0.12026402	1	0
ic_wt_cell__FBXO5_APC_FZR1_Ser182p_		lin	1.88E-06	1.88E-04	4.83E-06	1	0
ic_wt_cell__FOXM1_DBD_Thr600u_		lin	5.56E-04	5.56E-02	0.002124652	1	0
ic_wt_cell__FOXM1_DBD_Thr600p_		lin	3.81E-05	3.81E-03	5.09E-05	1	0
ic_wt_cell__CCNB_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_		lin	1.90E-08	1.90E-06	1.72E-06	1	0
ic_wt_cell__CCNB_promoter_FOXM1_		lin	9.98E-06	9.98E-04	6.34E-05	1	0
ic_wt_cell__CDC20_promoter_FOXM1_		lin	9.99E-06	9.99E-04	0.000574454	1	0
ic_wt_cell__CDC20_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_		lin	0.00E+00	7.62E-07	7.44E-07	1	0
ic_wt_cell__WEE1_Ser123u_		lin	9.80E-02	9.80E+00	2.406456723	1	0
ic_wt_cell__CCNB_CDK1_Thr14_Tyr15p_		lin	7.51E-04	7.51E-02	0.026572192	1	0
ic_wt_cell__WEE1_Ser123p_		lin	1.96E-03	1.96E-01	0.14442445	1	0
ic_wt_cell__CDC25_pSitesp_		lin	1.84E-03	1.84E-01	0.002446559	1	0
ic_wt_cell__CDC25_pSitesu_		lin	9.82E-02	9.82E+00	2.9745515	1	0
ic_wt_cell__MASTL_Thr198u_		lin	9.98E-02	9.98E+00	0.522145542	1	0
ic_wt_cell__MASTL_Thr198p_		lin	2.47E-04	2.47E-02	0.000458161	1	0
ic_wt_cell__ENSA_ARPP19_PPP2R2B_Ser62_Ser67u_		lin	8.27E-02	8.27E+00	6.261956072	1	0
ic_wt_cell__ENSA_ARPP19_PPP2R2B_Ser62_Ser67p_		lin	3.29E-05	3.29E-03	0.003177867	1	0
ic_wt_cell__ENSA_ARPP19_PPP2R2B_1_Ser62_Ser67p__PPP2R2B_ENSA_ARPP19_1_		lin	1.73E-02	1.73E+00	0.06787918	1	0
ic_wt_cell__CCNE_promoter_E2F_		lin	8.45E-06	8.45E-04	3.26E-05	1	0
ic_wt_cell__CCNA_promoter_E2F_		lin	8.45E-06	8.45E-04	1.09E-05	1	0
ic_wt_cell__E2F_promoter_E2F_		lin	8.45E-06	8.45E-04	0.000828345	1	0
ic_wt_cell__FBXO5_promoter_E2F_		lin	8.45E-06	8.45E-04	0.000710599	1	0
ic_wt_cell__FOXM1_promoter_E2F_		lin	8.45E-06	8.45E-04	0.000683098	1	0
